answer_id,query_id,model_version,faithful,answer_quality,abstained,citation_count,latency_ms,cost_usd
1,1,v3,1,3.25,0,2,1948,0.1227
2,2,v3,0,1.96,0,1,2838,0.1268
3,3,v2,1,4.22,0,0,2747,0.0585
4,4,v2,1,4.55,0,0,2338,0.0935
5,5,v2,1,3.4,1,0,3002,0.1296
6,6,v2,0,1.84,0,1,1183,0.1433
7,7,v2,1,4.25,0,1,1332,0.1446
8,8,v3,1,4.45,0,1,3146,0.032
9,9,v3,1,4.54,0,1,790,0.1484
10,10,v3,1,4.11,0,3,3325,0.0647
11,11,v2,1,4.16,0,1,2678,0.0962
12,12,v2,1,3.16,0,1,2795,0.1024
13,13,v2,0,1.68,0,3,2426,0.1439
14,14,v3,1,3.36,0,4,1631,0.1396
15,15,v2,1,2.75,0,1,3240,0.1137
16,16,v2,1,3.18,0,3,1356,0.0856
17,17,v3,0,2.66,0,0,2000,0.1247
18,18,v2,1,3.84,0,4,3299,0.0452
19,19,v3,0,1.72,0,4,2634,0.0688
20,20,v3,1,4.67,0,3,652,0.0726
21,21,v2,1,2.99,0,0,1839,0.1168
22,22,v3,1,3.99,0,4,2364,0.1226
23,23,v2,1,3.86,0,0,2177,0.0337
24,24,v2,1,4.35,1,3,2372,0.0647
25,25,v2,1,5.0,0,1,3052,0.0763
26,26,v3,1,2.89,0,4,657,0.1316
27,27,v3,1,3.57,0,1,2973,0.0522
28,28,v2,0,2.38,0,1,1789,0.0202
29,29,v3,1,2.84,1,2,2798,0.0123
30,30,v2,0,1.09,0,3,2612,0.1492
31,31,v3,0,2.19,0,2,1899,0.0972
32,32,v3,1,4.13,0,2,2782,0.1464
33,33,v3,1,4.46,0,2,2958,0.0206
34,34,v3,1,5.0,1,2,3523,0.0919
35,35,v3,1,4.32,1,3,2192,0.073
36,36,v2,1,3.7,0,0,3417,0.0546
37,37,v3,1,3.99,0,0,3086,0.1073
38,38,v3,1,3.88,1,2,3174,0.0169
39,39,v3,1,3.23,0,2,1721,0.0331
40,40,v2,1,4.02,0,2,2965,0.0228
41,41,v2,1,3.59,0,2,1774,0.0864
42,42,v3,1,3.86,0,0,1122,0.1077
43,43,v2,1,4.36,0,4,3188,0.0883
44,44,v3,1,4.04,0,2,1548,0.1376
45,45,v3,1,3.39,0,4,3049,0.0902
46,46,v3,0,2.9,0,2,3243,0.1326
47,47,v2,1,4.56,1,1,1219,0.0337
48,48,v2,0,2.37,0,1,1581,0.0613
49,49,v2,1,4.34,0,2,1856,0.0226
50,50,v2,1,3.68,0,3,1727,0.0677
51,51,v3,1,3.47,0,0,2134,0.1007
52,52,v3,1,3.61,0,3,2233,0.1398
53,53,v2,1,4.59,1,3,1382,0.146
54,54,v3,0,1.5,0,3,2911,0.0136
55,55,v3,1,3.84,0,2,1726,0.1459
