response_id,session_id,turn_number,model_version,created_at,latency_ms,is_safe,predicted_helpfulness,language,cost_usd
1,371,7,v2,2026-05-27T15:39,1114,1,0.792,es,0.0345
2,147,11,v3,2026-01-02T05:20,2479,1,0.567,es,0.0242
3,1005,12,v2,2026-01-01T13:58,1306,1,0.505,en,0.0461
4,1258,3,v1,2026-06-01T08:23,972,1,0.668,en,0.0348
5,1293,11,v1,2026-06-25T19:14,613,1,0.823,ja,0.0687
6,203,9,v2,2026-06-11T00:08,1474,1,1.0,fr,0.0267
7,1174,9,v3,2026-06-20T00:50,919,1,0.595,es,0.0089
8,1214,8,v3,2026-01-05T06:47,1478,1,0.866,es,0.058
9,602,5,v2,2026-05-04T11:07,740,1,0.804,en,0.0235
10,331,7,v1,2026-02-23T18:15,1238,1,0.531,ja,0.0455
11,252,4,v3,2026-06-04T04:46,422,1,0.957,de,0.0578
12,1553,7,v1,2026-03-18T17:40,1161,1,0.68,en,0.0779
13,307,7,v2,2026-01-20T22:13,932,1,0.855,fr,0.0085
14,1368,4,v1,2026-06-18T06:30,1288,1,0.636,en,0.0388
15,1099,10,v1,2026-06-13T14:19,1164,1,0.633,en,0.0608
16,1120,1,v3,2026-06-06T05:14,1537,1,0.659,es,0.0031
17,884,7,v2,2026-03-05T20:05,675,0,0.633,en,0.0376
18,1408,7,v3,2026-07-17T19:32,1149,1,0.681,ja,0.0762
19,1702,8,v3,2026-02-01T16:12,878,1,0.694,ja,0.0758
20,1452,3,v3,2026-01-29T03:23,2000,1,0.532,es,0.0629
21,192,9,v3,2026-02-17T02:24,549,1,0.661,en,0.0567
22,24,12,v3,2026-03-07T12:54,2054,1,0.938,he,0.0128
23,1594,5,v3,2026-01-21T13:06,1215,1,0.913,es,0.0699
24,1548,10,v1,2026-04-18T10:07,1228,1,0.752,fr,0.0365
25,64,10,v2,2026-06-07T13:19,1673,1,0.733,en,0.0766
26,775,12,v1,2026-06-06T07:43,1439,1,0.869,en,0.0065
27,1331,1,v2,2026-06-14T03:54,1533,1,0.535,ja,0.0236
28,1178,6,v1,2026-01-16T23:09,1589,0,0.603,en,0.0345
29,391,2,v2,2026-06-12T10:30,1429,1,0.843,en,0.0299
30,547,1,v3,2026-03-08T12:11,1409,1,0.772,es,0.0476
31,1530,8,v3,2026-04-28T14:46,1119,1,0.778,en,0.0477
32,732,8,v3,2026-01-04T03:26,1072,1,0.512,de,0.0699
33,1620,10,v1,2026-05-07T03:37,1349,1,0.599,en,0.0208
34,1031,12,v2,2026-03-15T16:26,528,1,0.588,en,0.0756
35,227,3,v3,2026-07-07T03:55,1455,1,0.801,en,0.0532
36,946,4,v3,2026-02-14T16:57,694,1,0.604,es,0.0729
37,1105,7,v2,2026-02-08T08:00,928,1,0.601,en,0.052
38,1199,1,v2,2026-05-18T04:03,544,1,0.643,en,0.0136
39,275,8,v2,2026-03-27T16:30,613,1,0.631,en,0.0369
40,128,5,v3,2026-01-11T18:57,457,0,0.649,es,0.067
41,1370,7,v3,2026-04-05T21:41,567,1,0.641,en,0.0274
42,1454,6,v3,2026-01-30T07:32,809,1,0.843,en,0.0609
43,697,11,v3,2026-04-02T18:53,1140,1,0.699,de,0.0775
44,1658,10,v2,2026-04-20T09:28,1275,1,0.564,en,0.0486
45,389,6,v1,2026-04-09T10:10,1976,1,0.682,en,0.0184
46,152,2,v2,2026-04-20T16:57,719,1,0.825,de,0.0548
47,738,2,v1,2026-01-13T20:40,1544,1,0.701,de,0.0188
48,1628,11,v3,2026-01-05T23:12,1518,1,0.595,es,0.0714
49,1296,1,v2,2026-06-11T14:20,1611,1,0.77,en,0.0025
50,486,1,v2,2026-06-07T02:25,2092,1,0.696,de,0.0304
51,536,10,v1,2026-04-23T05:00,2054,1,0.74,es,0.0794
52,1274,5,v1,2026-07-26T14:48,1625,1,0.763,en,0.0749
53,386,2,v1,2026-05-05T23:42,1914,0,0.613,ja,0.0086
54,1259,5,v1,2026-04-14T04:46,1236,1,0.507,es,0.052
55,1459,6,v1,2026-03-30T17:23,2082,1,0.957,en,0.0473
56,909,10,v3,2026-05-10T14:30,1174,1,0.901,en,0.0505
57,1126,8,v3,2026-03-05T00:26,1500,1,0.731,en,0.0208
58,1279,8,v1,2026-06-23T22:30,1404,1,0.742,es,0.0469
59,1743,9,v2,2026-04-22T12:00,249,1,0.922,de,0.0389
60,695,5,v2,2026-04-11T07:15,989,1,0.526,en,0.0398
61,15,7,v1,2026-02-01T19:38,1439,1,0.799,es,0.037
62,1651,11,v2,2026-03-14T15:50,360,1,0.882,en,0.0207
63,365,11,v3,2026-02-24T01:17,1394,1,0.605,ja,0.0082
64,425,8,v1,2026-07-06T10:18,1346,1,0.531,es,0.0474
65,1241,6,v1,2026-07-07T09:52,1154,1,0.983,de,0.0717
66,1039,7,v2,2026-07-07T15:07,1608,1,0.502,en,0.0639
67,909,3,v1,2026-05-10T14:30,1591,1,0.81,en,0.0197
68,697,11,v2,2026-04-02T18:53,754,1,0.989,de,0.0793
69,632,4,v1,2026-06-05T15:25,1878,1,0.494,en,0.076
70,1376,11,v3,2026-07-03T22:18,1780,0,0.615,en,0.0435
71,1524,6,v3,2026-04-14T09:35,1422,1,0.544,en,0.0385
72,612,8,v3,2026-06-04T06:51,837,1,0.96,en,0.0132
73,62,7,v2,2026-03-10T20:02,180,1,0.729,en,0.0273
74,558,5,v2,2026-02-15T11:07,1514,1,0.881,es,0.0502
75,565,2,v2,2026-06-04T17:54,1081,1,0.635,he,0.0343
76,1743,2,v3,2026-04-22T12:00,1246,1,0.683,de,0.0393
77,545,9,v1,2026-01-24T08:34,1551,1,0.667,en,0.0759
