query_id,language,query_type,gold_doc_id,difficulty,created_at
1,en,procedure,460,easy,2026-04-05T14:42
2,ja,long_tail,236,easy,2026-06-01T13:18
3,he,safety,307,easy,2026-05-18T02:08
4,fr,procedure,420,medium,2026-04-24T03:18
5,es,procedure,93,hard,2026-05-06T02:26
6,fr,fact,500,hard,2026-05-10T19:57
7,de,procedure,441,medium,2026-04-24T16:41
8,he,comparison,239,medium,2026-05-12T12:59
9,de,long_tail,481,hard,2026-04-08T15:31
10,de,fact,33,medium,2026-04-01T06:57
11,ja,fact,50,hard,2026-04-24T05:07
12,ja,fact,219,hard,2026-04-29T07:42
13,he,long_tail,476,hard,2026-05-08T18:11
14,ja,procedure,371,medium,2026-04-09T19:34
15,fr,long_tail,171,easy,2026-05-25T06:06
16,es,procedure,86,hard,2026-06-01T17:17
17,de,safety,216,easy,2026-06-03T04:21
18,en,long_tail,416,medium,2026-05-28T11:47
19,es,safety,66,medium,2026-06-07T05:43
20,es,procedure,497,easy,2026-06-01T17:18
21,de,long_tail,79,hard,2026-04-17T08:28
22,en,fact,327,easy,2026-06-01T06:00
23,es,procedure,293,easy,2026-05-24T15:25
24,fr,comparison,445,hard,2026-04-03T10:35
25,en,long_tail,349,easy,2026-04-12T03:47
26,fr,safety,459,easy,2026-04-06T02:13
27,de,procedure,330,medium,2026-05-23T03:19
28,en,procedure,321,hard,2026-05-13T12:00
29,de,comparison,101,medium,2026-05-29T03:29
30,ja,procedure,373,medium,2026-05-06T11:54
31,he,procedure,304,hard,2026-06-06T01:02
32,es,procedure,79,easy,2026-04-09T16:11
33,de,fact,203,easy,2026-05-26T04:51
34,ja,comparison,69,easy,2026-05-22T08:38
35,es,fact,419,easy,2026-05-26T16:01
36,es,comparison,427,medium,2026-06-09T02:27
37,ja,procedure,421,easy,2026-05-04T15:13
38,fr,comparison,193,hard,2026-04-10T17:57
39,en,fact,296,easy,2026-04-18T06:03
40,ja,fact,5,medium,2026-05-14T05:39
41,he,long_tail,365,easy,2026-05-08T07:46
42,fr,fact,482,hard,2026-05-25T05:28
43,es,fact,122,hard,2026-04-20T19:10
44,en,comparison,272,medium,2026-05-11T17:10
45,ja,procedure,54,hard,2026-04-23T12:05
46,de,comparison,107,hard,2026-06-09T07:00
47,es,comparison,79,hard,2026-05-29T07:38
48,en,fact,54,medium,2026-04-17T23:49
49,de,comparison,181,easy,2026-04-30T12:45
50,es,long_tail,463,hard,2026-05-06T22:27
51,fr,long_tail,48,medium,2026-05-26T19:18
52,fr,fact,132,easy,2026-06-06T16:49
53,de,safety,35,easy,2026-04-09T17:27
54,de,long_tail,310,hard,2026-04-30T04:04
55,de,fact,359,easy,2026-05-02T07:53
56,es,fact,130,medium,2026-04-09T23:34
57,en,procedure,421,hard,2026-06-07T15:28
58,fr,procedure,320,easy,2026-05-26T11:04
59,en,safety,39,easy,2026-05-19T18:16
60,fr,long_tail,457,medium,2026-04-10T23:55
61,he,comparison,443,hard,2026-04-14T06:01
62,de,fact,472,hard,2026-05-21T00:51
63,fr,long_tail,354,easy,2026-04-30T06:45
64,es,safety,20,easy,2026-05-31T02:23
65,de,fact,44,hard,2026-06-03T01:12
66,en,fact,164,hard,2026-04-21T08:17
67,es,safety,164,easy,2026-05-29T08:30
68,es,procedure,63,easy,2026-05-09T22:09
69,es,fact,152,hard,2026-05-08T13:23
70,ja,safety,417,hard,2026-05-16T12:17
71,de,fact,191,easy,2026-04-11T22:29
72,fr,fact,230,medium,2026-05-03T03:13
73,fr,safety,288,hard,2026-04-08T21:17
74,fr,comparison,175,easy,2026-04-20T18:44
75,es,fact,364,easy,2026-05-27T04:13
76,de,long_tail,50,hard,2026-04-26T11:46
77,he,safety,462,medium,2026-05-18T09:17
78,es,long_tail,465,medium,2026-05-28T14:13
79,es,fact,377,easy,2026-04-22T17:56
80,ja,procedure,218,medium,2026-04-08T02:34
81,de,comparison,113,easy,2026-05-27T12:25
82,en,comparison,410,hard,2026-05-02T19:30
83,fr,long_tail,335,hard,2026-04-29T22:17
84,ja,safety,10,hard,2026-04-20T04:15
85,he,procedure,186,hard,2026-04-08T10:39
86,es,procedure,183,medium,2026-06-02T06:08
87,he,safety,173,medium,2026-04-16T15:30
88,es,procedure,10,medium,2026-05-04T03:13
89,es,long_tail,463,medium,2026-05-10T17:40
90,ja,long_tail,483,hard,2026-05-13T12:19
91,ja,fact,450,hard,2026-05-06T18:05
92,de,procedure,496,medium,2026-04-26T12:00
93,en,fact,189,medium,2026-05-31T10:37
94,de,procedure,397,medium,2026-06-01T00:33
95,de,fact,81,easy,2026-05-10T05:49
96,en,comparison,172,hard,2026-06-05T08:35
97,he,procedure,131,hard,2026-04-12T02:48
98,ja,fact,232,easy,2026-04-19T13:05
99,he,fact,234,easy,2026-05-07T13:46
100,fr,comparison,446,medium,2026-04-09T08:34
101,he,fact,298,hard,2026-05-04T08:49
102,en,comparison,191,medium,2026-04-17T09:49
103,es,long_tail,365,easy,2026-05-16T19:28
104,es,comparison,272,hard,2026-04-08T14:34
105,he,safety,71,easy,2026-05-13T15:36
106,es,comparison,168,easy,2026-05-27T21:01
107,en,long_tail,480,hard,2026-05-26T19:36
108,he,fact,163,easy,2026-05-09T08:15
109,ja,comparison,53,hard,2026-05-25T06:34
110,ja,long_tail,274,medium,2026-06-05T05:30
111,he,long_tail,302,medium,2026-05-26T17:51
112,es,procedure,484,hard,2026-05-15T11:03
113,he,procedure,24,medium,2026-04-23T12:55
114,en,procedure,359,medium,2026-05-13T23:39
115,en,fact,155,medium,2026-04-24T00:12
116,ja,safety,486,medium,2026-05-22T14:22
117,en,long_tail,334,hard,2026-04-29T04:08
118,ja,long_tail,257,medium,2026-06-04T11:28
119,en,procedure,240,hard,2026-04-06T21:45
120,he,comparison,251,easy,2026-06-08T10:40
121,ja,procedure,279,medium,2026-05-01T10:27
122,es,comparison,245,medium,2026-04-19T18:08
123,es,long_tail,18,easy,2026-05-22T03:07
124,he,safety,234,hard,2026-04-03T21:07
125,ja,comparison,271,medium,2026-05-30T10:24
