query_id,document_id,rank,retrieval_score,is_relevant,retriever_version
1,342,1,0.905,1,hybrid_v2
1,410,2,0.701,0,dense_v1
1,180,3,0.716,0,dense_v1
1,369,4,0.772,1,hybrid_v2
1,314,5,0.582,1,hybrid_v2
2,328,1,0.374,1,dense_v1
2,327,2,0.55,1,hybrid_v2
2,299,3,0.676,1,hybrid_v2
2,247,4,0.804,0,dense_v1
2,319,5,0.925,0,dense_v1
3,425,1,0.925,0,dense_v1
3,292,2,0.657,1,hybrid_v2
3,268,3,0.512,1,dense_v1
3,266,4,0.655,1,hybrid_v2
3,392,5,0.821,1,hybrid_v2
4,58,1,0.395,1,hybrid_v2
4,86,2,0.598,0,hybrid_v2
4,28,3,0.591,0,dense_v1
4,353,4,0.689,1,hybrid_v2
4,401,5,0.973,1,hybrid_v2
5,51,1,0.529,1,dense_v1
5,480,2,0.594,1,dense_v1
5,229,3,0.667,0,hybrid_v2
5,224,4,0.438,1,dense_v1
5,180,5,0.697,0,hybrid_v2
6,80,1,0.48,1,hybrid_v2
6,450,2,0.641,1,hybrid_v2
6,370,3,0.562,0,hybrid_v2
6,459,4,0.918,1,hybrid_v2
6,283,5,0.351,1,hybrid_v2
7,296,1,0.947,0,hybrid_v2
7,343,2,0.854,1,dense_v1
7,341,3,0.421,1,hybrid_v2
7,306,4,0.369,1,hybrid_v2
7,195,5,0.871,0,hybrid_v2
8,65,1,0.63,1,dense_v1
8,21,2,0.503,1,dense_v1
8,216,3,0.916,1,hybrid_v2
8,303,4,0.493,0,hybrid_v2
8,322,5,0.86,0,dense_v1
9,309,1,0.709,1,hybrid_v2
9,186,2,0.757,0,hybrid_v2
9,284,3,0.894,0,dense_v1
9,308,4,0.905,1,dense_v1
9,183,5,0.705,0,dense_v1
10,136,1,0.793,1,dense_v1
10,500,2,0.964,1,hybrid_v2
10,230,3,0.899,0,hybrid_v2
10,467,4,0.725,0,hybrid_v2
10,99,5,0.787,0,dense_v1
11,48,1,0.764,0,dense_v1
11,248,2,0.679,1,hybrid_v2
11,34,3,0.587,1,hybrid_v2
11,424,4,0.375,0,hybrid_v2
11,450,5,0.75,0,dense_v1
12,129,1,0.865,1,dense_v1
12,337,2,0.532,0,hybrid_v2
12,76,3,0.829,0,dense_v1
12,149,4,0.672,0,dense_v1
12,167,5,0.977,0,dense_v1
13,99,1,0.709,1,dense_v1
13,155,2,0.778,0,hybrid_v2
13,225,3,0.686,0,dense_v1
13,487,4,0.512,1,dense_v1
13,287,5,0.637,1,hybrid_v2
14,210,1,0.551,1,dense_v1
14,93,2,0.847,0,hybrid_v2
14,317,3,0.845,1,dense_v1
14,469,4,0.507,1,dense_v1
14,449,5,0.616,0,dense_v1
15,226,1,0.437,1,hybrid_v2
15,451,2,0.784,0,dense_v1
15,487,3,0.614,0,dense_v1
15,459,4,0.97,0,hybrid_v2
15,114,5,0.777,1,hybrid_v2
16,453,1,0.837,1,hybrid_v2
16,238,2,0.631,0,hybrid_v2
16,197,3,0.945,0,hybrid_v2
16,307,4,0.669,0,dense_v1
16,190,5,0.442,0,dense_v1
17,304,1,0.62,0,hybrid_v2
17,486,2,0.513,1,hybrid_v2
17,45,3,0.936,1,dense_v1
17,112,4,0.954,0,hybrid_v2
17,353,5,0.367,0,dense_v1
18,119,1,0.655,1,hybrid_v2
18,265,2,0.369,1,dense_v1
18,12,3,0.353,1,dense_v1
18,430,4,0.433,0,hybrid_v2
