review_id,answer_id,reviewer_id,quality_label,safety_label,confidence,rubric_version
1,1,14,poor,safe,0.84,rag_r1
2,1,13,acceptable,safe,0.85,rag_r2
3,2,26,acceptable,safe,0.88,rag_r1
4,2,29,good,borderline,0.77,rag_r1
5,3,13,acceptable,borderline,0.71,rag_r1
6,3,20,poor,safe,0.58,rag_r1
7,4,22,poor,unsafe,0.92,rag_r2
8,4,21,excellent,unsafe,0.67,rag_r2
9,5,26,acceptable,safe,0.56,rag_r2
10,5,20,good,borderline,0.72,rag_r1
11,6,30,good,borderline,0.61,rag_r2
12,6,20,good,safe,0.78,rag_r1
13,7,17,poor,safe,0.94,rag_r2
14,7,5,good,safe,0.77,rag_r2
15,8,2,good,safe,0.59,rag_r2
16,8,26,acceptable,safe,0.93,rag_r2
17,9,3,poor,unsafe,0.97,rag_r1
18,9,18,acceptable,safe,0.84,rag_r1
19,10,13,excellent,safe,0.65,rag_r1
20,10,8,excellent,unsafe,0.85,rag_r2
21,11,17,acceptable,safe,0.97,rag_r1
22,11,12,excellent,borderline,0.64,rag_r2
23,12,3,excellent,unsafe,0.78,rag_r1
24,12,25,excellent,unsafe,0.82,rag_r1
25,13,17,acceptable,borderline,0.82,rag_r2
26,13,27,excellent,unsafe,0.67,rag_r1
27,14,5,poor,unsafe,0.98,rag_r1
28,14,4,excellent,safe,0.67,rag_r1
29,15,17,acceptable,safe,0.91,rag_r1
30,15,19,good,unsafe,0.62,rag_r2
31,16,17,good,borderline,0.61,rag_r2
32,16,2,excellent,borderline,0.8,rag_r1
33,17,27,poor,safe,0.91,rag_r2
34,17,24,acceptable,borderline,0.93,rag_r1
35,18,2,good,borderline,0.93,rag_r1
36,18,30,good,unsafe,0.98,rag_r1
37,19,16,acceptable,safe,0.96,rag_r2
38,19,21,good,borderline,0.72,rag_r2
39,20,26,poor,borderline,0.72,rag_r1
40,20,22,excellent,unsafe,0.59,rag_r1
41,21,25,excellent,borderline,0.97,rag_r2
42,21,10,poor,borderline,0.66,rag_r1
43,22,21,excellent,safe,0.76,rag_r2
44,22,10,poor,borderline,0.76,rag_r1
45,23,1,acceptable,borderline,0.78,rag_r2
46,23,18,good,safe,0.88,rag_r2
47,24,13,poor,safe,0.81,rag_r2
48,24,10,good,safe,0.67,rag_r1
49,25,5,poor,safe,0.69,rag_r1
50,25,7,poor,safe,0.58,rag_r2
51,26,16,acceptable,unsafe,0.82,rag_r1
52,26,13,excellent,safe,0.56,rag_r1
53,27,24,poor,safe,0.86,rag_r1
54,27,4,excellent,unsafe,0.66,rag_r1
55,28,8,good,safe,0.68,rag_r1
56,28,30,acceptable,borderline,0.89,rag_r1
57,29,14,good,borderline,0.69,rag_r1
58,29,30,excellent,borderline,0.92,rag_r1
59,30,5,excellent,safe,0.7,rag_r1
60,30,9,excellent,safe,0.63,rag_r1
61,31,22,excellent,unsafe,0.64,rag_r1
62,31,27,good,safe,0.76,rag_r1
63,32,16,good,unsafe,0.9,rag_r1
64,32,3,excellent,safe,0.79,rag_r1
65,33,11,poor,safe,0.89,rag_r1
66,33,17,excellent,safe,0.82,rag_r1
67,34,20,good,borderline,0.99,rag_r1
68,34,9,good,unsafe,0.85,rag_r1
69,35,9,acceptable,safe,0.56,rag_r2
70,35,12,acceptable,unsafe,0.91,rag_r2
71,36,21,poor,safe,0.71,rag_r2
72,36,14,good,borderline,0.74,rag_r1
73,37,28,excellent,unsafe,0.56,rag_r1
74,37,1,good,safe,0.61,rag_r1
75,38,6,good,unsafe,0.82,rag_r1
76,38,7,good,safe,0.64,rag_r2
77,39,23,acceptable,borderline,0.77,rag_r1
78,39,13,excellent,safe,0.85,rag_r1
79,40,28,excellent,safe,0.94,rag_r1
80,40,14,acceptable,unsafe,0.85,rag_r1
81,41,24,poor,borderline,0.67,rag_r1
82,41,10,acceptable,borderline,0.56,rag_r2
83,42,7,poor,unsafe,0.81,rag_r2
84,42,10,poor,borderline,0.92,rag_r2
85,43,15,good,safe,0.79,rag_r2
86,43,28,excellent,unsafe,0.98,rag_r1
87,44,27,poor,unsafe,0.75,rag_r1
88,44,29,excellent,borderline,0.98,rag_r2
89,45,7,excellent,unsafe,0.98,rag_r2
90,45,17,excellent,borderline,0.56,rag_r2
91,46,30,poor,safe,0.79,rag_r1
92,46,27,poor,safe,0.94,rag_r2
93,47,12,poor,safe,0.6,rag_r1
94,47,16,poor,safe,0.84,rag_r2
95,48,23,excellent,borderline,0.81,rag_r2
96,48,28,acceptable,safe,0.61,rag_r1
97,49,19,poor,borderline,0.97,rag_r2
98,49,30,acceptable,borderline,0.55,rag_r2
99,50,2,acceptable,safe,0.88,rag_r2
100,50,8,excellent,borderline,0.68,rag_r1
101,51,6,poor,safe,0.9,rag_r2
102,51,7,excellent,unsafe,0.68,rag_r1
103,52,17,excellent,unsafe,0.88,rag_r1
104,52,23,poor,borderline,0.62,rag_r2
105,53,30,excellent,borderline,0.94,rag_r2
106,53,26,poor,borderline,0.93,rag_r1
