assignment_id,user_id,experiment_id,variant,assigned_at,segment,cluster_id
1,368,EXP_MODEL_02,control,2026-03-13T09:42,returning,692
2,55,EXP_MODEL_02,control,2026-04-05T22:02,returning,589
3,332,EXP_PROMPT_01,treatment,2026-03-17T16:53,new,630
4,99,EXP_MODEL_02,treatment,2026-03-28T13:01,new,357
5,136,EXP_MODEL_02,treatment,2026-03-01T17:38,enterprise,241
6,473,EXP_MODEL_02,control,2026-04-09T23:18,new,374
7,297,EXP_PROMPT_01,treatment,2026-03-17T18:07,returning,422
8,117,EXP_PROMPT_01,treatment,2026-03-09T07:08,new,615
9,211,EXP_PROMPT_01,treatment,2026-04-02T00:14,returning,6
10,260,EXP_PROMPT_01,treatment,2026-03-27T11:01,returning,559
11,370,EXP_MODEL_02,treatment,2026-03-06T00:04,returning,657
12,515,EXP_MODEL_02,control,2026-03-30T13:59,returning,282
13,31,EXP_PROMPT_01,treatment,2026-03-14T15:04,returning,152
14,49,EXP_PROMPT_01,treatment,2026-04-20T05:04,returning,434
15,359,EXP_MODEL_02,treatment,2026-05-01T01:01,enterprise,253
16,86,EXP_PROMPT_01,treatment,2026-03-30T17:13,enterprise,675
17,570,EXP_MODEL_02,treatment,2026-04-12T19:49,new,339
18,166,EXP_PROMPT_01,control,2026-04-13T15:44,enterprise,568
19,204,EXP_PROMPT_01,control,2026-04-20T13:21,enterprise,57
20,209,EXP_MODEL_02,treatment,2026-03-25T23:19,enterprise,281
21,36,EXP_PROMPT_01,treatment,2026-03-10T02:46,returning,499
22,389,EXP_MODEL_02,treatment,2026-04-08T16:59,new,337
23,92,EXP_PROMPT_01,control,2026-04-26T05:43,new,294
24,506,EXP_MODEL_02,control,2026-03-14T17:07,enterprise,649
25,406,EXP_MODEL_02,treatment,2026-04-09T04:25,enterprise,347
26,277,EXP_MODEL_02,control,2026-03-02T15:57,enterprise,699
27,122,EXP_PROMPT_01,control,2026-04-12T01:51,new,43
28,368,EXP_MODEL_02,treatment,2026-04-04T16:01,new,375
29,367,EXP_MODEL_02,control,2026-04-18T14:01,new,1
30,464,EXP_MODEL_02,control,2026-03-02T04:54,enterprise,643
31,368,EXP_MODEL_02,control,2026-03-18T06:15,new,217
32,302,EXP_MODEL_02,control,2026-03-03T12:58,new,265
33,467,EXP_MODEL_02,treatment,2026-03-20T21:12,new,106
34,512,EXP_PROMPT_01,control,2026-03-24T16:48,enterprise,514
35,584,EXP_PROMPT_01,control,2026-04-09T15:49,enterprise,144
36,514,EXP_PROMPT_01,treatment,2026-04-29T12:31,enterprise,361
37,171,EXP_MODEL_02,treatment,2026-04-25T11:53,returning,371
38,288,EXP_MODEL_02,treatment,2026-03-11T07:55,enterprise,554
39,99,EXP_MODEL_02,treatment,2026-03-19T22:44,new,691
40,576,EXP_MODEL_02,control,2026-04-28T02:13,enterprise,328
41,595,EXP_PROMPT_01,control,2026-04-29T01:55,new,437
42,531,EXP_MODEL_02,control,2026-04-12T03:29,new,115
43,185,EXP_MODEL_02,control,2026-04-25T06:28,returning,306
44,519,EXP_MODEL_02,treatment,2026-03-01T15:07,new,450
45,241,EXP_MODEL_02,control,2026-03-01T20:48,returning,150
46,455,EXP_MODEL_02,control,2026-04-25T15:52,new,222
47,389,EXP_PROMPT_01,treatment,2026-04-03T05:47,returning,606
48,231,EXP_PROMPT_01,control,2026-03-20T04:11,new,678
49,353,EXP_PROMPT_01,control,2026-04-12T14:23,new,127
50,371,EXP_PROMPT_01,control,2026-04-19T04:55,enterprise,359
51,553,EXP_PROMPT_01,control,2026-03-01T21:47,returning,187
52,243,EXP_MODEL_02,control,2026-03-08T00:30,returning,141
53,555,EXP_MODEL_02,control,2026-04-17T16:26,new,73
54,274,EXP_PROMPT_01,treatment,2026-03-15T13:42,new,65
55,482,EXP_MODEL_02,control,2026-05-01T10:16,new,98
56,590,EXP_PROMPT_01,control,2026-05-02T04:09,new,183
57,129,EXP_PROMPT_01,treatment,2026-03-21T06:19,enterprise,375
58,358,EXP_MODEL_02,treatment,2026-04-24T19:59,enterprise,44
59,33,EXP_MODEL_02,treatment,2026-04-25T08:29,enterprise,573
60,528,EXP_PROMPT_01,control,2026-04-02T19:50,enterprise,630
61,261,EXP_MODEL_02,treatment,2026-03-17T09:45,returning,128
62,204,EXP_PROMPT_01,control,2026-04-11T13:09,enterprise,113
63,199,EXP_PROMPT_01,control,2026-05-01T12:35,new,241
64,20,EXP_MODEL_02,control,2026-04-02T02:08,returning,565
65,58,EXP_MODEL_02,treatment,2026-04-23T02:00,returning,253
66,330,EXP_PROMPT_01,control,2026-03-20T11:20,enterprise,359
67,181,EXP_PROMPT_01,control,2026-04-03T09:35,returning,328
68,395,EXP_PROMPT_01,treatment,2026-03-13T23:16,enterprise,617
69,109,EXP_MODEL_02,treatment,2026-03-31T13:37,new,683
70,267,EXP_PROMPT_01,treatment,2026-03-17T15:14,returning,120
71,400,EXP_MODEL_02,treatment,2026-04-06T11:12,returning,8
72,155,EXP_MODEL_02,control,2026-04-15T21:13,returning,58
73,28,EXP_PROMPT_01,treatment,2026-03-07T14:50,new,36
74,217,EXP_MODEL_02,treatment,2026-03-18T11:54,returning,261
75,217,EXP_PROMPT_01,control,2026-04-19T03:39,new,297
76,39,EXP_PROMPT_01,control,2026-03-18T08:31,enterprise,614
77,325,EXP_MODEL_02,treatment,2026-04-29T13:19,enterprise,112
78,175,EXP_MODEL_02,control,2026-03-15T15:55,new,58
79,237,EXP_PROMPT_01,treatment,2026-03-30T18:57,new,374
80,328,EXP_MODEL_02,treatment,2026-04-22T07:49,returning,235
81,435,EXP_PROMPT_01,treatment,2026-03-11T04:36,enterprise,562
82,470,EXP_MODEL_02,control,2026-03-23T05:16,enterprise,401
83,388,EXP_MODEL_02,treatment,2026-03-28T21:53,returning,521
84,237,EXP_MODEL_02,treatment,2026-03-13T07:31,enterprise,48
85,6,EXP_PROMPT_01,treatment,2026-03-02T20:19,returning,122
86,193,EXP_PROMPT_01,treatment,2026-03-12T00:05,new,12
87,70,EXP_PROMPT_01,treatment,2026-04-07T07:59,enterprise,383
88,545,EXP_PROMPT_01,treatment,2026-03-25T07:34,enterprise,351
89,515,EXP_MODEL_02,treatment,2026-04-08T23:37,enterprise,697
90,209,EXP_MODEL_02,treatment,2026-04-09T06:37,new,122
91,431,EXP_PROMPT_01,treatment,2026-04-06T18:32,returning,366
92,202,EXP_MODEL_02,treatment,2026-03-25T07:54,enterprise,174
93,597,EXP_PROMPT_01,control,2026-04-25T00:42,returning,227
