session_id,user_id,session_start,channel,topic,end_status
1,393,2026-03-08T21:39,web,safety,abandoned
2,129,2026-02-10T14:20,mobile,account,resolved
3,53,2026-04-20T22:45,mobile,billing,escalated
4,405,2026-05-07T02:46,web,safety,resolved
5,396,2026-03-21T01:12,web,health,escalated
6,251,2026-04-13T07:20,web,account,resolved
7,435,2026-03-26T09:48,mobile,safety,resolved
8,124,2026-07-09T19:28,api,account,resolved
9,17,2026-01-08T01:44,web,safety,resolved
10,477,2026-06-05T12:22,web,technical,resolved
11,400,2026-01-06T02:09,api,health,resolved
12,440,2026-06-01T07:52,api,safety,resolved
13,288,2026-01-25T08:50,web,billing,resolved
14,177,2026-07-27T12:53,web,technical,resolved
15,528,2026-02-01T19:38,mobile,account,resolved
16,230,2026-03-19T03:32,mobile,technical,abandoned
17,561,2026-07-01T20:55,web,billing,escalated
18,445,2026-05-13T21:42,web,technical,abandoned
19,92,2026-04-03T14:05,web,technical,resolved
20,289,2026-05-07T04:42,api,billing,resolved
21,117,2026-01-17T16:35,mobile,health,resolved
22,331,2026-04-16T20:48,web,education,escalated
23,416,2026-06-17T11:18,mobile,health,resolved
24,465,2026-03-07T12:54,web,health,abandoned
25,201,2026-06-22T12:35,mobile,education,resolved
26,293,2026-06-18T10:16,api,health,resolved
27,454,2026-05-16T07:30,api,education,resolved
28,35,2026-06-29T11:52,api,technical,resolved
29,392,2026-01-26T02:16,web,health,resolved
30,187,2026-04-24T12:41,web,education,abandoned
31,334,2026-06-26T09:02,web,health,resolved
32,395,2026-04-02T06:11,mobile,safety,abandoned
33,110,2026-01-01T11:04,api,account,resolved
34,5,2026-02-09T12:47,mobile,health,resolved
35,279,2026-06-06T05:37,mobile,education,escalated
36,304,2026-07-08T10:51,api,safety,escalated
37,505,2026-06-12T18:08,api,education,resolved
38,67,2026-02-10T02:14,web,safety,resolved
39,440,2026-03-24T04:11,mobile,health,resolved
40,153,2026-07-23T05:38,api,billing,resolved
41,5,2026-02-04T08:35,mobile,safety,resolved
42,377,2026-02-03T10:09,web,education,resolved
43,491,2026-03-21T23:13,web,technical,resolved
44,152,2026-07-02T07:01,web,technical,resolved
45,545,2026-05-25T14:15,api,education,escalated
46,406,2026-06-23T01:29,web,education,resolved
47,29,2026-07-07T12:05,web,account,resolved
48,46,2026-02-01T22:25,api,safety,resolved
49,478,2026-01-26T03:50,web,education,abandoned
50,551,2026-07-03T13:22,mobile,technical,abandoned
51,510,2026-04-15T21:42,mobile,billing,resolved
52,186,2026-06-06T18:02,api,education,resolved
53,362,2026-02-20T23:16,mobile,billing,resolved
54,138,2026-01-18T18:21,api,education,resolved
55,260,2026-07-21T14:02,web,technical,resolved
56,600,2026-03-26T18:21,web,technical,resolved
57,591,2026-07-15T00:20,mobile,technical,abandoned
58,173,2026-06-03T23:23,web,technical,abandoned
59,318,2026-03-17T07:32,api,education,resolved
60,392,2026-04-16T19:07,mobile,education,resolved
61,567,2026-06-27T21:12,api,account,resolved
62,453,2026-03-10T20:02,api,account,resolved
63,340,2026-05-24T09:34,web,safety,resolved
64,597,2026-06-07T13:19,api,safety,resolved
65,328,2026-04-26T18:39,web,account,resolved
66,454,2026-07-16T19:23,mobile,technical,resolved
67,383,2026-04-08T08:02,api,technical,resolved
68,4,2026-01-28T11:21,mobile,billing,resolved
69,526,2026-04-13T06:05,web,account,resolved
70,561,2026-02-13T04:26,api,technical,resolved
71,49,2026-05-10T03:42,web,safety,resolved
72,535,2026-01-24T18:22,mobile,account,escalated
73,168,2026-05-02T01:37,mobile,health,resolved
74,432,2026-02-01T16:57,mobile,technical,resolved
75,244,2026-03-19T16:10,web,technical,resolved
76,403,2026-03-20T16:00,web,health,escalated
77,343,2026-05-17T20:39,mobile,account,resolved
78,349,2026-05-11T16:00,web,billing,resolved
79,499,2026-02-25T00:57,web,education,escalated
80,9,2026-06-20T06:46,web,technical,resolved
81,470,2026-02-02T15:47,api,account,resolved
82,187,2026-06-06T19:15,api,health,resolved
83,156,2026-07-25T15:13,web,education,resolved
84,428,2026-05-31T02:01,api,account,resolved
85,281,2026-07-22T09:37,mobile,health,resolved
86,185,2026-06-16T15:23,mobile,account,resolved
87,362,2026-03-30T11:17,web,billing,escalated
88,511,2026-06-26T11:54,api,education,resolved
89,36,2026-06-08T12:57,api,technical,resolved
90,542,2026-04-21T00:53,mobile,education,resolved
91,242,2026-05-14T01:49,api,account,resolved
92,463,2026-04-03T05:06,mobile,account,abandoned
93,120,2026-01-22T04:41,api,technical,abandoned
94,543,2026-01-28T01:31,api,safety,escalated
95,36,2026-07-14T15:52,web,safety,resolved
96,126,2026-07-26T17:07,mobile,education,resolved
97,119,2026-01-08T12:08,web,education,resolved
98,382,2026-06-16T12:16,api,billing,escalated
99,52,2026-05-05T07:22,web,account,abandoned
100,345,2026-03-11T19:21,web,billing,resolved
101,563,2026-01-06T03:04,mobile,health,resolved
102,517,2026-04-15T16:38,web,billing,resolved
103,295,2026-07-13T21:04,api,safety,resolved
104,520,2026-07-19T17:48,web,billing,escalated
105,571,2026-05-06T05:21,web,technical,resolved
106,548,2026-06-08T12:49,api,education,resolved
107,126,2026-03-30T20:09,web,education,abandoned
108,310,2026-01-11T23:10,mobile,safety,resolved
109,289,2026-07-06T05:42,web,account,resolved
110,12,2026-07-17T07:17,api,education,abandoned
111,50,2026-04-06T18:09,mobile,safety,resolved
112,483,2026-01-28T18:25,web,technical,resolved
113,122,2026-02-09T05:25,mobile,health,resolved
114,360,2026-04-23T23:52,api,account,resolved
115,310,2026-05-23T17:24,web,billing,resolved
116,58,2026-07-25T19:46,api,account,resolved
117,472,2026-06-12T10:52,api,education,resolved
118,263,2026-03-30T18:08,api,health,resolved
119,542,2026-07-14T21:03,api,education,resolved
120,558,2026-05-20T14:08,mobile,technical,abandoned
121,394,2026-01-14T10:54,web,health,resolved
122,20,2026-02-22T17:13,mobile,billing,escalated
123,352,2026-01-21T17:16,web,technical,resolved
124,136,2026-04-09T15:55,mobile,education,resolved
125,350,2026-03-14T16:12,api,health,resolved
126,555,2026-06-28T02:15,api,education,resolved
127,547,2026-05-28T03:46,api,safety,resolved
128,564,2026-01-11T18:57,mobile,safety,escalated
129,270,2026-05-09T05:59,web,account,resolved
130,431,2026-03-30T06:29,web,account,abandoned
131,387,2026-03-11T10:26,web,account,resolved
132,60,2026-05-24T20:29,web,account,abandoned
133,484,2026-06-26T21:39,web,technical,abandoned
134,385,2026-06-07T01:31,api,billing,resolved
135,438,2026-03-20T20:41,mobile,billing,abandoned
136,398,2026-06-14T15:50,api,billing,resolved
137,159,2026-05-14T06:06,web,technical,resolved
138,240,2026-02-17T11:17,web,technical,resolved
139,319,2026-05-17T14:56,api,education,resolved
140,184,2026-07-16T19:51,mobile,health,abandoned
141,417,2026-02-23T17:12,mobile,billing,resolved
142,358,2026-06-19T03:19,web,billing,resolved
143,245,2026-03-18T04:06,api,health,escalated
144,4,2026-04-06T01:40,mobile,education,escalated
145,326,2026-04-17T17:43,mobile,account,resolved
146,127,2026-07-05T03:48,api,technical,escalated
147,165,2026-01-02T05:20,web,safety,resolved
148,283,2026-01-11T03:24,mobile,education,resolved
149,475,2026-07-24T08:17,web,education,resolved
150,438,2026-02-02T22:17,api,safety,resolved
151,452,2026-05-12T00:32,api,safety,resolved
152,576,2026-04-20T16:57,web,billing,abandoned
153,459,2026-01-27T12:43,mobile,safety,resolved
154,182,2026-05-29T08:17,api,account,resolved
155,482,2026-04-30T05:14,web,education,resolved
156,572,2026-02-24T05:40,api,account,resolved
157,197,2026-06-23T13:31,api,health,resolved
158,505,2026-03-27T04:56,web,technical,abandoned
159,460,2026-07-15T00:35,api,education,resolved
160,70,2026-04-30T12:19,web,education,resolved
161,237,2026-06-13T09:14,web,safety,resolved
162,177,2026-04-30T15:03,api,technical,escalated
163,354,2026-07-27T12:43,web,education,resolved
164,525,2026-04-03T20:44,web,safety,escalated
165,373,2026-02-04T11:44,mobile,health,resolved
166,68,2026-07-17T23:15,api,technical,escalated
167,354,2026-02-17T10:21,web,technical,abandoned
168,165,2026-04-17T09:07,mobile,health,resolved
169,472,2026-01-28T22:49,api,account,resolved
170,398,2026-06-06T20:45,api,safety,abandoned
171,283,2026-03-29T03:03,mobile,safety,resolved
172,482,2026-02-21T07:02,api,account,resolved
173,252,2026-04-07T05:16,api,technical,escalated
174,17,2026-05-23T06:36,api,education,escalated
175,124,2026-07-16T22:25,api,technical,resolved
176,211,2026-04-20T13:16,mobile,technical,abandoned
177,28,2026-06-21T10:12,web,safety,resolved
178,383,2026-07-02T23:55,api,health,resolved
179,366,2026-04-24T06:25,mobile,account,abandoned
180,526,2026-05-25T21:34,mobile,health,resolved
181,129,2026-07-07T18:14,api,health,escalated
182,136,2026-01-08T00:11,mobile,billing,escalated
183,406,2026-05-14T00:13,api,education,resolved
184,214,2026-02-20T14:47,api,safety,resolved
185,487,2026-02-15T21:16,web,safety,resolved
186,234,2026-06-12T03:41,mobile,education,escalated
187,282,2026-05-13T04:20,mobile,account,resolved
188,589,2026-05-30T00:11,api,technical,resolved
189,129,2026-04-26T14:34,mobile,safety,resolved
190,364,2026-04-25T20:59,web,billing,abandoned
191,302,2026-07-17T20:13,mobile,billing,abandoned
192,36,2026-02-17T02:24,api,safety,resolved
193,587,2026-06-07T14:06,mobile,technical,resolved
194,360,2026-06-02T17:27,api,technical,resolved
195,275,2026-01-24T23:56,api,education,resolved
196,501,2026-05-26T13:01,api,billing,abandoned
197,599,2026-07-17T10:19,api,safety,resolved
198,122,2026-05-25T15:01,mobile,education,resolved
199,398,2026-01-07T03:07,api,health,resolved
200,198,2026-01-16T04:55,mobile,education,escalated
201,412,2026-07-12T16:53,api,account,resolved
202,155,2026-06-18T06:51,mobile,education,abandoned
203,240,2026-06-11T00:08,mobile,health,resolved
204,89,2026-02-13T04:24,web,technical,resolved
205,454,2026-03-21T09:27,web,health,resolved
206,396,2026-06-15T21:35,api,education,resolved
207,584,2026-04-08T03:17,mobile,billing,abandoned
208,251,2026-05-16T04:53,mobile,health,resolved
209,112,2026-05-18T09:56,web,education,resolved
210,253,2026-04-26T18:14,api,billing,escalated
211,198,2026-01-14T06:42,web,health,abandoned
212,18,2026-07-26T22:39,mobile,billing,resolved
213,271,2026-01-25T18:46,mobile,technical,abandoned
214,551,2026-03-24T03:52,mobile,education,resolved
215,89,2026-07-03T23:47,mobile,health,resolved
216,523,2026-07-07T05:23,mobile,account,resolved
217,195,2026-04-08T06:46,web,health,abandoned
218,288,2026-05-27T06:01,api,safety,escalated
219,448,2026-01-06T11:25,mobile,billing,resolved
220,101,2026-01-14T16:50,mobile,safety,resolved
221,204,2026-06-08T15:39,web,education,resolved
222,207,2026-03-08T18:59,mobile,billing,resolved
223,163,2026-06-12T08:12,mobile,education,resolved
224,258,2026-01-27T11:38,api,safety,abandoned
225,487,2026-07-07T19:30,web,technical,abandoned
226,387,2026-02-12T21:14,web,billing,resolved
227,34,2026-07-07T03:55,mobile,account,resolved
228,464,2026-07-22T16:05,mobile,billing,resolved
