user_id,signup_date,plan_type,language,country,age_group
1,2026-01-29,free,en,GB,18-24
2,2025-01-03,premium,en,GB,25-34
3,2025-02-17,premium,ja,GB,45-54
4,2025-09-08,enterprise,he,DE,25-34
5,2025-07-30,free,ja,CA,18-24
6,2025-06-27,free,es,GB,55+
7,2026-03-21,enterprise,es,IN,18-24
8,2025-05-17,premium,en,GB,18-24
9,2025-12-22,enterprise,en,IN,45-54
10,2026-02-01,free,en,DE,18-24
11,2025-09-19,enterprise,en,US,45-54
12,2025-08-12,free,es,CA,18-24
13,2025-04-02,free,en,IN,18-24
14,2025-03-02,premium,en,CA,45-54
15,2025-07-15,premium,ja,GB,45-54
16,2026-04-06,free,de,IL,55+
17,2025-08-09,free,ja,CA,25-34
18,2025-05-05,free,en,CA,45-54
19,2025-05-29,premium,en,IN,55+
20,2025-06-14,free,de,CA,55+
21,2025-09-29,free,en,IL,35-44
22,2025-01-05,free,he,GB,25-34
23,2026-04-25,free,en,CA,45-54
24,2025-01-03,enterprise,en,US,45-54
25,2025-10-05,enterprise,en,US,45-54
26,2026-01-19,free,en,US,45-54
27,2025-07-21,enterprise,ja,CA,35-44
28,2025-09-15,free,he,CA,45-54
29,2025-02-17,premium,de,CA,25-34
30,2026-04-15,enterprise,en,CA,35-44
31,2025-11-01,free,en,CA,55+
32,2026-06-13,premium,ja,US,45-54
33,2025-07-30,free,en,IN,55+
34,2025-08-26,premium,en,US,55+
35,2026-02-26,free,en,GB,55+
36,2025-01-23,enterprise,en,DE,18-24
37,2025-12-03,free,de,US,55+
38,2026-03-18,free,en,US,35-44
39,2025-10-09,free,es,IL,18-24
40,2026-03-28,premium,en,GB,45-54
41,2026-05-22,free,es,CA,35-44
42,2025-07-05,free,de,IN,45-54
43,2025-05-28,premium,en,IL,18-24
44,2026-02-26,free,en,GB,45-54
45,2025-01-04,premium,en,IN,25-34
46,2026-02-19,free,en,GB,18-24
47,2025-09-23,enterprise,de,GB,45-54
48,2026-05-28,premium,ja,US,35-44
49,2026-07-10,free,en,CA,25-34
50,2025-01-24,enterprise,ja,GB,45-54
51,2026-03-12,free,en,IL,45-54
52,2025-04-29,free,ja,IN,18-24
53,2025-07-06,premium,en,US,55+
54,2026-05-01,free,es,DE,18-24
55,2025-07-03,premium,en,IL,18-24
56,2025-04-06,free,en,IL,18-24
57,2026-04-19,premium,en,IL,18-24
58,2026-04-22,free,es,DE,35-44
59,2026-02-11,free,en,GB,35-44
60,2026-02-16,free,en,US,55+
61,2026-05-12,premium,fr,GB,25-34
62,2025-09-04,free,en,IL,18-24
63,2026-03-11,premium,fr,CA,18-24
64,2025-02-15,free,en,GB,18-24
65,2026-02-26,premium,es,US,25-34
66,2025-03-28,premium,es,IL,25-34
67,2025-07-05,premium,en,GB,45-54
68,2025-06-18,premium,en,GB,35-44
69,2026-02-23,free,de,IL,45-54
70,2026-02-14,free,he,US,55+
71,2025-11-11,enterprise,en,IN,35-44
72,2025-11-16,enterprise,ja,IN,55+
73,2026-06-21,premium,en,IN,45-54
74,2025-07-06,free,en,DE,55+
75,2026-05-22,free,he,CA,55+
76,2026-05-20,free,en,US,25-34
77,2026-03-18,enterprise,en,GB,45-54
78,2025-07-21,free,en,US,25-34
79,2025-08-17,free,fr,IL,55+
80,2025-07-28,free,en,GB,18-24
81,2026-01-24,free,fr,GB,55+
82,2026-04-27,enterprise,es,GB,35-44
83,2026-06-18,free,en,IL,25-34
84,2026-05-19,premium,en,US,35-44
85,2025-08-05,free,en,CA,18-24
86,2026-03-02,enterprise,fr,IL,55+
87,2025-10-14,free,fr,DE,18-24
88,2026-05-11,enterprise,en,GB,18-24
89,2026-02-06,premium,fr,DE,25-34
90,2025-03-08,free,ja,IL,18-24
91,2025-02-19,free,en,IN,25-34
92,2026-05-25,premium,en,CA,35-44
93,2026-06-01,free,de,IL,35-44
94,2025-10-09,enterprise,en,US,45-54
95,2026-06-20,free,en,CA,35-44
96,2026-05-09,free,en,US,35-44
97,2026-01-23,free,es,CA,25-34
98,2025-07-03,free,he,IL,45-54
99,2025-12-04,premium,en,DE,35-44
100,2025-07-02,premium,de,CA,45-54
101,2026-02-27,free,en,IL,18-24
102,2025-11-20,enterprise,es,US,25-34
103,2026-04-25,free,fr,IL,55+
104,2026-01-03,enterprise,en,CA,35-44
105,2026-04-01,free,en,IN,45-54
106,2025-04-17,free,en,GB,25-34
107,2025-03-24,enterprise,fr,IL,25-34
108,2025-12-10,free,ja,DE,35-44
109,2025-02-05,enterprise,he,IN,55+
110,2025-12-15,free,ja,GB,25-34
111,2026-05-23,enterprise,es,IL,35-44
112,2025-11-13,premium,en,IL,18-24
113,2025-12-25,free,en,DE,55+
114,2025-11-19,free,en,DE,25-34
115,2026-03-04,premium,de,DE,18-24
116,2025-08-20,enterprise,ja,IN,55+
117,2026-05-01,free,de,IN,25-34
118,2025-02-23,free,es,US,18-24
119,2025-11-11,enterprise,fr,IL,18-24
120,2025-12-27,free,ja,US,18-24
121,2026-06-05,enterprise,ja,CA,55+
122,2026-06-20,free,en,CA,25-34
123,2025-05-11,free,he,US,25-34
124,2025-10-20,premium,es,CA,25-34
125,2025-02-21,enterprise,de,US,35-44
126,2025-03-30,enterprise,en,IN,55+
127,2026-02-03,free,es,GB,18-24
128,2026-03-21,premium,en,GB,45-54
129,2025-08-27,premium,en,IN,55+
130,2025-03-13,free,en,IN,25-34
131,2026-03-20,free,es,CA,55+
132,2025-11-01,free,en,GB,55+
133,2025-09-22,premium,en,IN,25-34
134,2025-01-09,free,es,IN,45-54
135,2025-06-07,premium,fr,GB,35-44
136,2026-01-20,enterprise,en,IN,18-24
137,2025-09-26,premium,es,CA,35-44
138,2026-06-05,free,ja,IL,35-44
139,2026-03-08,premium,de,CA,45-54
140,2025-12-23,free,de,CA,25-34
141,2025-09-14,premium,en,GB,55+
142,2025-11-04,premium,en,CA,25-34
143,2025-11-06,premium,he,IL,18-24
