customer_id,country,plan_type,tenure_months
1,GB,standard,92
2,IN,premium,47
3,IN,premium,21
4,CA,standard,26
5,IN,premium,64
6,DE,premium,32
7,GB,standard,105
8,GB,premium,113
9,DE,standard,64
10,US,standard,119
11,DE,premium,42
12,CA,premium,27
13,GB,standard,81
14,IN,standard,9
15,CA,standard,38
16,CA,premium,76
17,GB,premium,37
18,GB,premium,33
19,GB,standard,1
20,GB,standard,14
21,DE,premium,106
22,DE,premium,105
23,GB,standard,113
24,US,standard,30
25,GB,premium,88
26,US,standard,41
27,CA,standard,52
28,GB,premium,7
29,IN,premium,13
30,US,premium,105
31,DE,standard,37
32,US,standard,3
33,GB,premium,55
34,GB,premium,113
35,IN,premium,101
36,GB,premium,56
37,IN,premium,116
38,US,standard,106
39,CA,premium,25
40,CA,premium,28
41,US,standard,81
42,CA,standard,83
43,IN,standard,66
44,US,premium,15
45,DE,standard,59
46,DE,premium,1
47,IN,premium,30
48,CA,premium,51
49,DE,premium,72
50,GB,standard,16
51,IN,premium,91
52,GB,standard,50
53,CA,premium,102
54,US,premium,118
55,US,premium,23
56,CA,standard,71
57,CA,standard,39
58,IN,premium,111
59,DE,standard,113
60,IN,premium,27
61,DE,standard,68
62,US,premium,75
63,DE,standard,31
64,GB,standard,84
65,CA,standard,49
66,GB,premium,101
67,DE,premium,13
68,IN,standard,36
69,CA,premium,17
70,GB,standard,80
71,CA,standard,73
72,GB,standard,17
73,CA,premium,98
74,US,standard,41
75,CA,standard,115
76,GB,premium,67
77,US,premium,114
78,IN,standard,109
79,IN,standard,24
80,US,premium,90
81,GB,standard,43
82,IN,standard,64
83,IN,standard,36
84,US,premium,15
85,IN,premium,89
86,IN,standard,45
87,DE,standard,65
88,US,premium,4
89,US,premium,47
90,GB,standard,107
91,GB,standard,53
92,GB,premium,50
93,US,premium,63
94,IN,standard,53
95,IN,standard,32
96,GB,premium,68
97,US,premium,92
98,IN,premium,31
99,US,premium,96
100,DE,premium,47
101,GB,standard,84
102,CA,premium,120
103,DE,premium,95
104,DE,standard,30
105,CA,standard,1
106,DE,premium,56
107,CA,premium,74
108,US,standard,8
109,GB,standard,54
110,IN,standard,120
111,GB,premium,64
112,DE,premium,25
113,US,premium,10
114,IN,premium,114
115,GB,standard,48
116,CA,premium,54
117,DE,standard,89
118,GB,standard,41
119,US,standard,52
120,US,standard,111
121,GB,standard,8
122,DE,standard,41
123,DE,standard,35
124,US,standard,9
125,GB,premium,12
126,GB,premium,106
127,DE,premium,52
128,US,premium,54
129,US,premium,31
130,DE,premium,11
131,US,standard,83
132,GB,standard,4
133,GB,standard,24
134,GB,standard,21
135,CA,standard,52
136,US,premium,88
137,US,premium,118
138,CA,premium,97
139,US,premium,84
140,GB,standard,113
141,US,premium,107
142,US,standard,6
143,IN,standard,9
144,US,standard,83
145,IN,standard,92
146,GB,premium,25
147,GB,premium,115
148,DE,premium,96
149,GB,premium,25
150,DE,standard,119
151,IN,premium,117
152,GB,standard,92
153,CA,premium,93
154,CA,standard,96
155,US,standard,103
156,DE,premium,92
157,CA,premium,52
158,GB,premium,1
159,IN,standard,6
160,GB,standard,66
161,DE,premium,24
162,DE,premium,11
163,IN,premium,93
164,US,premium,26
165,IN,standard,111
166,US,standard,106
167,GB,premium,119
168,IN,standard,32
169,DE,premium,54
170,GB,premium,44
171,DE,premium,51
172,CA,standard,6
173,IN,standard,21
174,GB,premium,28
175,DE,standard,14
176,DE,premium,54
177,IN,premium,41
178,US,premium,94
179,DE,premium,51
180,US,premium,24
181,GB,standard,5
182,GB,standard,98
183,IN,standard,10
184,DE,premium,45
185,GB,premium,78
186,DE,premium,23
187,DE,premium,117
188,IN,premium,26
189,US,standard,24
190,CA,standard,106
191,IN,premium,81
192,DE,premium,21
193,DE,premium,77
194,GB,premium,27
195,DE,standard,53
196,GB,premium,83
197,CA,standard,100
198,IN,premium,56
199,GB,premium,85
200,US,standard,93
201,CA,premium,114
202,US,standard,119
203,CA,standard,80
204,IN,premium,61
205,CA,premium,7
206,IN,premium,9
207,DE,premium,8
208,DE,standard,110
209,GB,premium,88
210,CA,premium,31
211,GB,premium,11
212,IN,standard,56
213,CA,standard,100
214,DE,standard,5
215,DE,premium,15
216,US,premium,65
217,US,standard,13
218,GB,standard,113
219,CA,premium,48
220,IN,standard,55
221,US,standard,55
222,GB,standard,34
223,US,premium,75
224,IN,standard,85
225,US,premium,25
226,CA,standard,43
227,US,premium,82
228,DE,standard,54
229,GB,standard,2
230,DE,standard,23
231,US,standard,26
232,IN,premium,114
233,US,standard,107
234,DE,standard,67
235,CA,premium,93
236,US,premium,110
237,CA,premium,65
238,DE,standard,26
239,GB,standard,89
240,IN,standard,73
241,DE,premium,84
242,DE,standard,27
243,GB,premium,45
244,CA,standard,97
245,GB,premium,56
246,GB,standard,113
247,US,premium,36
248,GB,standard,37
249,CA,standard,30
250,GB,premium,11
251,IN,standard,44
252,DE,premium,16
253,DE,standard,85
254,CA,standard,83
255,GB,premium,112
256,GB,standard,76
257,IN,premium,34
258,US,standard,53
259,US,standard,117
260,GB,standard,53
261,IN,standard,37
262,IN,premium,10
263,US,premium,76
264,GB,premium,24
265,GB,standard,39
266,DE,premium,98
267,IN,standard,88
268,DE,premium,31
269,US,premium,62
270,DE,standard,67
271,US,standard,4
272,DE,standard,21
273,US,standard,53
274,IN,standard,113
275,GB,standard,28
276,US,premium,55
277,US,standard,45
278,IN,premium,97
279,GB,premium,111
280,GB,standard,13
281,US,standard,20
282,IN,standard,27
283,DE,premium,65
284,GB,standard,103
285,DE,premium,16
286,IN,standard,66
287,DE,premium,100
288,CA,standard,113
289,IN,premium,73
290,IN,premium,69
291,US,standard,14
292,CA,standard,106
293,DE,premium,81
294,IN,standard,10
295,US,premium,21
296,DE,standard,104
297,CA,premium,19
298,GB,standard,65
299,IN,standard,88
300,DE,standard,19
301,DE,standard,38
302,IN,premium,105
303,CA,premium,76
304,GB,standard,56
305,IN,premium,28
306,US,standard,7
307,CA,standard,9
308,GB,premium,16
309,CA,standard,66
310,GB,standard,111
311,CA,premium,73
312,DE,standard,25
313,GB,premium,109
314,IN,standard,98
315,GB,premium,42
316,US,premium,92
317,US,premium,33
318,GB,premium,82
319,CA,premium,51
320,US,standard,115
321,DE,premium,59
322,CA,standard,1
323,DE,premium,47
324,GB,premium,118
325,CA,standard,19
326,DE,standard,25
327,DE,standard,51
328,GB,standard,32
329,CA,premium,72
330,DE,standard,45
331,DE,standard,6
332,US,premium,9
333,US,premium,95
334,IN,standard,58
335,GB,standard,72
336,DE,premium,100
337,US,premium,71
338,DE,standard,12
339,GB,premium,104
340,US,standard,7
341,GB,premium,47
342,DE,premium,25
343,US,premium,83
344,CA,standard,85
345,US,premium,98
346,US,standard,6
347,DE,premium,65
348,CA,premium,113
349,CA,premium,59
350,CA,standard,118
351,IN,premium,101
352,GB,premium,104
353,GB,standard,94
354,CA,standard,93
355,GB,premium,78
356,GB,premium,8
357,IN,standard,36
358,DE,premium,38
359,GB,premium,90
360,DE,standard,77
361,CA,premium,86
362,CA,premium,119
363,DE,standard,8
364,GB,premium,95
365,US,premium,22
366,DE,premium,115
367,DE,standard,93
368,US,standard,116
369,DE,standard,49
370,US,standard,120
371,US,premium,65
372,IN,standard,106
373,CA,standard,103
374,US,premium,66
375,GB,premium,55
376,DE,premium,59
377,CA,standard,3
378,DE,standard,81
379,CA,standard,65
380,US,standard,32
381,CA,premium,15
382,CA,premium,37
383,IN,premium,1
384,US,standard,31
385,GB,premium,99
386,CA,premium,68
387,US,standard,75
388,IN,premium,104
389,DE,premium,61
390,GB,premium,58
391,US,premium,98
392,DE,standard,19
393,GB,standard,89
394,IN,standard,118
395,DE,standard,103
396,US,standard,11
397,US,premium,94
398,GB,standard,102
399,DE,premium,116
400,GB,premium,54
401,CA,premium,6
402,DE,standard,50
403,CA,standard,91
404,IN,standard,74
405,DE,premium,57
406,GB,premium,24
407,IN,premium,114
408,GB,standard,60
409,US,premium,74
410,IN,standard,72
411,IN,standard,56
412,CA,standard,47
413,CA,standard,68
414,CA,standard,102
415,US,premium,120
416,US,standard,37
417,DE,premium,14
418,GB,premium,12
419,CA,standard,1
420,DE,premium,92
421,DE,standard,118
422,GB,premium,88
423,GB,premium,44
424,US,premium,86
425,DE,premium,50
426,GB,premium,5
427,GB,premium,7
428,GB,premium,18
429,CA,premium,82
430,GB,premium,40
431,IN,standard,1
432,IN,standard,73
433,US,premium,106
434,DE,premium,11
435,GB,premium,21
436,CA,premium,14
437,US,standard,84
438,CA,standard,35
