title_id,genre,release_year,runtime_min,is_original,maturity_rating
1,Reality,2014,138,0,TV-MA
2,Comedy,2000,78,0,R
3,Action,2004,60,1,TV-MA
4,Sci-Fi,2003,66,0,TV-MA
5,Drama,2026,143,0,PG-13
6,Drama,2022,124,0,PG
7,Sci-Fi,1995,92,0,R
8,Kids,2022,72,1,R
9,Sci-Fi,2019,50,1,R
10,Reality,2010,88,0,TV-MA
11,Sci-Fi,2012,58,0,TV-MA
12,Sci-Fi,2012,74,1,G
13,Comedy,2003,59,1,R
14,Kids,2023,56,0,R
15,Comedy,2015,24,1,TV-MA
16,Drama,2006,35,0,PG
17,Reality,2023,115,1,G
18,Comedy,1995,85,1,R
19,Action,2026,69,0,G
20,Action,2000,129,0,PG
21,Drama,2012,121,0,TV-MA
22,Documentary,2006,46,0,PG-13
23,Sci-Fi,2019,128,1,PG
24,Documentary,2023,53,0,G
25,Comedy,2024,116,0,TV-MA
26,Reality,2008,82,0,PG-13
27,Action,2005,102,0,TV-MA
28,Kids,2002,54,0,PG-13
29,Comedy,2018,135,1,PG
30,Drama,2010,103,0,G
31,Comedy,2012,96,1,PG
32,Drama,1997,96,0,R
33,Reality,2004,69,0,PG
34,Comedy,2026,33,0,PG-13
35,Sci-Fi,1998,29,0,PG
36,Reality,2001,38,0,PG-13
37,Kids,2017,125,0,PG
38,Drama,2019,67,0,PG-13
39,Drama,2026,112,0,PG-13
40,Kids,2026,46,0,TV-MA
41,Action,2015,115,0,TV-MA
42,Sci-Fi,2005,30,0,R
43,Action,2011,91,0,G
44,Sci-Fi,2019,115,1,G
45,Kids,2018,121,0,PG-13
46,Reality,1999,106,0,R
47,Comedy,2026,120,0,TV-MA
48,Action,2015,74,0,G
49,Drama,1999,27,0,PG
50,Comedy,1997,47,1,PG
51,Drama,1997,95,0,R
52,Reality,2026,89,0,TV-MA
53,Action,1998,68,1,G
54,Drama,2008,105,0,G
55,Documentary,1998,68,0,R
56,Sci-Fi,2018,123,0,TV-MA
57,Action,1997,115,1,PG-13
58,Drama,2008,144,0,G
59,Reality,2009,90,0,PG
60,Kids,2010,94,0,PG
61,Kids,2021,117,1,TV-MA
62,Action,2024,111,0,G
63,Comedy,2006,92,0,PG-13
64,Reality,2005,90,0,R
65,Action,2015,92,0,PG-13
66,Sci-Fi,2018,74,0,R
67,Sci-Fi,2015,99,1,TV-MA
68,Comedy,2019,120,0,PG-13
69,Action,2023,79,0,G
70,Reality,1997,58,0,TV-MA
71,Comedy,2014,22,0,PG
72,Comedy,2015,24,0,PG-13
73,Kids,2004,34,1,PG-13
74,Comedy,2003,55,0,TV-MA
75,Comedy,2009,54,0,G
76,Kids,2020,94,0,G
77,Reality,2015,123,0,R
78,Sci-Fi,2001,98,0,G
79,Reality,2019,32,0,PG-13
80,Action,2022,75,0,G
81,Sci-Fi,2009,117,0,TV-MA
82,Drama,2019,28,0,G
83,Action,2004,63,0,PG
84,Comedy,1998,108,0,R
85,Documentary,2000,50,0,R
86,Comedy,2003,65,1,TV-MA
87,Reality,1998,92,0,G
88,Documentary,2022,121,0,PG
89,Documentary,2007,84,0,TV-MA
90,Comedy,2010,53,1,R
91,Action,2000,36,0,R
92,Action,2017,46,0,TV-MA
93,Reality,1996,120,0,PG-13
94,Kids,2023,101,1,G
95,Sci-Fi,2009,47,0,PG
96,Sci-Fi,2000,36,0,PG
97,Kids,2004,133,0,PG-13
98,Drama,2016,110,0,PG-13
99,Documentary,2025,24,0,TV-MA
100,Comedy,2008,91,0,PG-13
101,Kids,2025,101,0,PG
102,Reality,1996,70,0,TV-MA
103,Drama,2011,43,1,PG
104,Sci-Fi,2012,28,0,G
105,Drama,2019,106,1,PG-13
106,Sci-Fi,2001,24,0,R
107,Comedy,2019,87,0,G
108,Action,2026,132,0,G
109,Comedy,2007,86,0,TV-MA
110,Reality,1996,27,1,TV-MA
111,Action,2016,84,0,PG
112,Drama,2017,109,0,PG-13
113,Comedy,2012,125,1,PG-13
114,Documentary,1996,142,0,PG-13
115,Comedy,2004,65,0,PG
116,Drama,2019,88,0,TV-MA
117,Sci-Fi,2009,75,1,PG
118,Documentary,2014,138,0,R
119,Kids,2003,48,0,TV-MA
120,Kids,2007,132,1,TV-MA
121,Comedy,2022,138,0,PG
122,Reality,2005,62,1,TV-MA
123,Reality,2002,45,0,PG
124,Reality,1996,119,0,R
125,Documentary,2014,78,0,PG-13
126,Comedy,2007,35,1,G
127,Sci-Fi,2012,99,0,PG
128,Kids,2009,51,0,PG-13
129,Drama,2025,39,0,TV-MA
130,Documentary,2018,45,0,R
131,Documentary,2003,42,1,G
132,Documentary,1995,140,1,R
133,Comedy,2007,118,1,PG
134,Documentary,2026,110,0,R
135,Comedy,2022,73,0,TV-MA
136,Reality,2019,114,0,TV-MA
137,Reality,1997,88,1,R
138,Sci-Fi,1997,134,0,TV-MA
139,Kids,2020,116,1,R
140,Kids,1998,46,0,R
141,Action,2013,81,1,PG-13
142,Kids,1998,110,0,PG
143,Documentary,2023,33,0,G
144,Comedy,2003,72,0,R
145,Drama,2006,80,0,PG
146,Documentary,2000,54,0,PG
147,Reality,2002,33,1,R
148,Reality,2018,32,0,R
149,Reality,2005,70,0,G
150,Sci-Fi,2005,138,0,PG
