assignment_id,completed,quality_score,safety_violation,latency_ms,cost_usd
1,0,3.72,0,926,0.0514
2,1,2.91,0,1291,0.1116
3,0,3.18,0,1126,0.0207
4,0,4.04,0,1708,0.0748
5,1,3.66,0,1430,0.057
6,1,3.44,0,1749,0.0925
7,1,4.35,0,1197,0.0221
8,1,4.23,0,1524,0.0354
9,1,4.07,0,1391,0.0283
10,0,4.1,0,1167,0.0293
11,1,3.37,0,842,0.0757
12,1,3.47,0,1079,0.068
13,1,3.0,0,1360,0.0868
14,0,3.87,0,2169,0.0616
15,1,5.0,0,1765,0.0383
16,0,4.16,0,1326,0.101
17,1,5.0,0,952,0.0482
18,0,3.22,0,783,0.0651
19,1,3.6,0,1057,0.0582
20,1,5.0,0,1640,0.066
21,1,3.65,0,1565,0.1197
22,1,2.6,0,1532,0.1144
23,0,3.42,0,1886,0.0462
24,1,4.88,1,1241,0.0211
25,0,3.74,0,1676,0.023
26,1,2.8,0,1338,0.01
27,0,1.8,0,585,0.0774
28,1,3.49,0,1104,0.0816
29,1,3.72,0,1323,0.0688
30,1,4.34,1,1458,0.0387
31,1,4.22,0,1480,0.0555
32,0,4.81,0,1409,0.117
33,1,3.55,0,1387,0.1068
34,0,4.5,0,1937,0.0635
35,1,3.46,0,1220,0.0778
36,0,3.48,0,1367,0.0553
37,1,2.91,0,1090,0.0497
38,0,4.48,0,1657,0.0636
39,1,3.49,1,1205,0.0932
40,1,4.6,0,1170,0.0494
41,1,3.75,0,1131,0.1167
42,1,2.93,0,1178,0.109
43,1,4.07,0,1399,0.056
44,1,3.02,0,828,0.1055
45,0,3.43,0,1175,0.016
46,1,4.41,0,1084,0.083
47,1,3.64,0,1482,0.0816
48,1,4.33,0,1409,0.031
49,0,4.09,0,1277,0.1108
50,1,3.87,0,1388,0.1099
51,0,3.78,0,716,0.0702
52,1,3.14,0,892,0.0931
53,1,2.92,0,1270,0.0725
54,1,4.07,0,1734,0.088
55,0,2.6,0,1335,0.0518
56,1,4.29,0,1561,0.0444
57,0,3.59,0,2187,0.084
