incident_id,detected_at,model_version,incident_type,severity,affected_users,detection_source,time_to_mitigate_min,root_cause
1,2026-07-15T22:00,v3,quality_regression,SEV3,28,audit,415,vendor_change
2,2026-06-03T22:00,v1,privacy_leak,SEV3,183,user_report,395,instrumentation
3,2026-06-08T23:00,v1,privacy_leak,SEV3,41,audit,92,data_drift
4,2026-03-06T22:00,v3,latency_spike,SEV3,13,monitor,742,vendor_change
5,2026-03-23T14:00,v2,unsafe_output,SEV3,41,audit,345,data_drift
6,2026-05-13T21:00,v3,unsafe_output,SEV2,135,user_report,194,access_control
7,2026-06-29T11:00,v1,quality_regression,SEV3,105,audit,184,prompt_change
8,2026-01-08T20:00,v1,quality_regression,SEV3,17,red_team,681,data_drift
9,2026-05-13T01:00,v2,unsafe_output,SEV3,17,red_team,823,data_drift
10,2026-03-30T12:00,v2,quality_regression,SEV2,227,audit,726,data_drift
11,2026-04-28T08:00,v3,latency_spike,SEV3,409,user_report,605,unknown
12,2026-03-16T16:00,v1,privacy_leak,SEV1,20,red_team,124,unknown
13,2026-02-03T04:00,v1,latency_spike,SEV2,240,red_team,190,vendor_change
14,2026-01-12T17:00,v2,quality_regression,SEV3,91,red_team,454,vendor_change
15,2026-07-24T23:00,v3,unsafe_output,SEV3,19,user_report,773,vendor_change
16,2026-06-08T09:00,v1,privacy_leak,SEV3,185,audit,873,instrumentation
17,2026-04-02T01:00,v1,tool_error,SEV3,57,audit,568,unknown
18,2026-06-04T11:00,v1,tool_error,SEV3,65,monitor,605,prompt_change
19,2026-01-25T09:00,v2,quality_regression,SEV3,22,audit,324,prompt_change
20,2026-05-19T13:00,v1,privacy_leak,SEV2,80,monitor,560,unknown
21,2026-02-19T09:00,v3,tool_error,SEV3,210,user_report,523,instrumentation
22,2026-05-04T20:00,v3,privacy_leak,SEV3,157,user_report,417,access_control
23,2026-01-22T20:00,v1,privacy_leak,SEV2,1,audit,84,instrumentation
24,2026-03-20T19:00,v1,privacy_leak,SEV3,9,monitor,402,access_control
25,2026-03-31T00:00,v3,unsafe_output,SEV3,43,monitor,107,instrumentation
26,2026-02-24T00:00,v3,quality_regression,SEV3,13,monitor,825,data_drift
27,2026-02-01T04:00,v1,privacy_leak,SEV2,1,monitor,45,unknown
28,2026-05-14T01:00,v2,unsafe_output,SEV1,55,monitor,144,access_control
29,2026-01-25T17:00,v3,tool_error,SEV3,173,red_team,235,instrumentation
30,2026-04-26T21:00,v2,quality_regression,SEV3,128,audit,25,access_control
31,2026-01-05T10:00,v2,tool_error,SEV3,21,red_team,566,unknown
32,2026-07-12T23:00,v3,unsafe_output,SEV3,122,monitor,259,vendor_change
33,2026-07-11T17:00,v1,privacy_leak,SEV3,1,audit,297,data_drift
34,2026-07-12T18:00,v2,privacy_leak,SEV3,23,user_report,254,unknown
35,2026-06-23T02:00,v3,unsafe_output,SEV3,72,red_team,64,instrumentation
36,2026-01-18T19:00,v2,quality_regression,SEV3,47,audit,345,prompt_change
37,2026-02-21T00:00,v3,latency_spike,SEV3,311,red_team,209,data_drift
38,2026-02-14T16:00,v2,unsafe_output,SEV3,99,red_team,840,prompt_change
39,2026-04-14T11:00,v3,quality_regression,SEV2,14,red_team,770,unknown
40,2026-02-28T09:00,v1,privacy_leak,SEV3,125,monitor,836,access_control
41,2026-02-08T03:00,v2,tool_error,SEV2,98,monitor,728,prompt_change
42,2026-02-05T17:00,v1,latency_spike,SEV3,29,user_report,422,unknown
43,2026-05-09T13:00,v3,tool_error,SEV2,17,audit,107,instrumentation
44,2026-02-05T22:00,v2,latency_spike,SEV3,93,monitor,318,unknown
45,2026-02-23T22:00,v3,quality_regression,SEV3,153,audit,612,instrumentation
46,2026-04-23T01:00,v2,latency_spike,SEV3,188,audit,98,access_control
47,2026-04-06T08:00,v3,tool_error,SEV3,132,audit,300,data_drift
48,2026-07-25T18:00,v3,unsafe_output,SEV3,13,red_team,190,prompt_change
49,2026-02-23T16:00,v3,unsafe_output,SEV2,19,red_team,354,prompt_change
50,2026-07-04T20:00,v3,tool_error,SEV3,70,red_team,412,unknown
51,2026-02-22T04:00,v3,quality_regression,SEV2,18,user_report,458,vendor_change
52,2026-01-16T15:00,v3,quality_regression,SEV3,50,monitor,512,instrumentation
53,2026-05-12T23:00,v2,unsafe_output,SEV3,11,monitor,298,data_drift
54,2026-02-27T07:00,v2,latency_spike,SEV3,10,user_report,194,unknown
55,2026-05-16T13:00,v2,tool_error,SEV3,216,user_report,728,unknown
56,2026-05-30T22:00,v1,unsafe_output,SEV3,24,red_team,751,prompt_change
57,2026-01-30T12:00,v3,latency_spike,SEV3,109,audit,391,vendor_change
58,2026-05-09T14:00,v3,unsafe_output,SEV2,41,monitor,191,unknown
