job_id,case_id,reviewer_id,label,review_seconds,rubric_version,adjudicated
1,3067,15,major_issue,80,r2.0,0
2,1520,45,major_issue,302,r2.1,0
3,2760,34,minor_issue,202,r2.1,0
4,8,18,minor_issue,258,r2.1,1
5,2361,36,minor_issue,223,r2.0,0
6,1285,31,unsafe,374,r2.1,0
7,954,19,unsafe,147,r2.0,1
8,3663,34,major_issue,443,r2.1,1
9,1520,45,major_issue,248,r2.0,0
10,2336,45,minor_issue,180,r2.0,0
11,3996,8,minor_issue,375,r2.1,0
12,884,10,pass,351,r2.0,0
13,2044,32,pass,275,r2.1,0
14,2263,10,pass,291,r2.0,0
15,1361,1,minor_issue,374,r2.0,0
16,3994,4,major_issue,302,r2.1,0
17,3961,32,minor_issue,78,r2.1,0
18,1357,45,pass,170,r2.0,0
19,1670,10,pass,441,r2.0,0
20,3172,38,minor_issue,114,r2.1,0
21,944,9,pass,175,r2.1,0
22,1385,21,pass,225,r2.0,1
23,464,27,minor_issue,471,r2.1,1
24,3633,9,unsafe,167,r2.1,0
25,1128,29,major_issue,378,r2.1,0
26,2168,31,unsafe,67,r2.1,0
27,1920,38,minor_issue,63,r2.1,0
28,1271,43,unsafe,449,r2.0,0
29,3174,34,major_issue,444,r2.1,0
30,2238,37,minor_issue,33,r2.0,1
31,3198,23,pass,36,r2.1,0
32,1181,18,minor_issue,140,r2.1,0
33,482,21,unsafe,461,r2.0,0
34,2932,20,minor_issue,363,r2.1,1
35,1310,11,pass,76,r2.0,0
36,2450,27,pass,260,r2.0,1
37,2505,27,pass,31,r2.1,0
38,3708,28,minor_issue,170,r2.0,0
39,3569,21,minor_issue,83,r2.1,0
40,1686,11,unsafe,475,r2.0,0
41,2843,35,unsafe,109,r2.0,0
42,74,5,major_issue,414,r2.1,0
43,2790,43,major_issue,391,r2.0,0
44,338,21,minor_issue,90,r2.0,1
45,974,14,unsafe,255,r2.1,0
46,760,10,unsafe,388,r2.0,0
47,2212,35,unsafe,97,r2.0,0
48,2613,4,unsafe,276,r2.0,0
49,1831,25,minor_issue,456,r2.1,0
50,3782,9,pass,334,r2.0,0
51,2707,13,major_issue,201,r2.1,0
52,994,20,major_issue,130,r2.1,1
53,277,16,minor_issue,242,r2.1,1
54,32,7,unsafe,36,r2.0,0
55,1599,37,unsafe,139,r2.1,0
56,3121,13,major_issue,71,r2.0,0
57,1148,2,major_issue,64,r2.0,0
58,2080,2,unsafe,51,r2.1,1
59,2302,44,minor_issue,386,r2.1,0
60,675,17,pass,256,r2.1,0
61,1218,3,pass,336,r2.1,0
62,546,6,pass,324,r2.0,0
63,3732,27,unsafe,99,r2.0,1
64,3474,41,unsafe,347,r2.1,0
65,1602,13,major_issue,418,r2.0,0
66,3690,12,pass,325,r2.1,1
67,2313,44,minor_issue,121,r2.1,0
68,359,12,pass,260,r2.0,0
69,3785,16,major_issue,269,r2.1,0
70,3736,33,unsafe,180,r2.0,0
71,1282,37,major_issue,113,r2.1,0
72,905,1,unsafe,294,r2.1,0
73,717,9,pass,55,r2.0,0
74,447,40,minor_issue,157,r2.1,0
75,1428,20,unsafe,149,r2.0,0
76,1747,25,major_issue,183,r2.1,0
77,305,30,minor_issue,259,r2.1,0
78,1070,44,minor_issue,117,r2.1,1
79,506,8,minor_issue,40,r2.0,0
80,2430,14,minor_issue,308,r2.0,0
81,8,45,major_issue,426,r2.1,0
82,3928,21,minor_issue,109,r2.1,0
83,2820,14,major_issue,250,r2.0,0
84,3524,41,minor_issue,434,r2.1,0
85,162,34,minor_issue,100,r2.1,1
86,3032,39,major_issue,456,r2.1,0
87,2269,26,major_issue,474,r2.1,1
88,2587,23,unsafe,304,r2.1,0
89,1697,8,major_issue,88,r2.0,0
90,1453,45,minor_issue,402,r2.1,0
91,3561,36,unsafe,210,r2.0,1
92,3543,28,major_issue,315,r2.1,0
93,2146,43,minor_issue,72,r2.1,0
94,3179,17,major_issue,159,r2.0,1
95,1908,4,unsafe,455,r2.1,0
96,308,30,major_issue,442,r2.0,0
97,128,31,major_issue,177,r2.1,0
98,3824,6,minor_issue,236,r2.1,1
99,2970,36,pass,148,r2.1,0
100,633,37,pass,455,r2.1,1
101,914,20,pass,373,r2.0,0
102,1891,20,minor_issue,66,r2.0,0
103,336,40,unsafe,183,r2.0,0
104,762,44,unsafe,356,r2.0,0
105,495,5,pass,176,r2.0,0
106,2844,20,unsafe,180,r2.0,1
107,1771,1,pass,265,r2.0,0
108,1263,32,unsafe,435,r2.0,0
109,1071,32,major_issue,369,r2.0,0
110,3614,25,unsafe,142,r2.1,0
111,2223,9,major_issue,25,r2.0,0
112,1299,17,minor_issue,128,r2.0,1
113,3470,31,pass,332,r2.0,0
114,1364,5,major_issue,386,r2.1,1
115,2798,5,minor_issue,316,r2.1,0
116,1818,32,major_issue,74,r2.1,0
117,2259,30,major_issue,274,r2.0,1
118,3365,13,unsafe,140,r2.1,0
119,2426,5,pass,104,r2.0,0
120,590,43,pass,223,r2.0,0
121,982,20,pass,448,r2.0,0
122,2511,41,pass,48,r2.0,0
123,2998,22,unsafe,372,r2.0,0
124,1233,16,major_issue,76,r2.0,1
125,1282,33,minor_issue,356,r2.1,1
126,3021,41,minor_issue,236,r2.1,0
127,114,6,minor_issue,199,r2.1,0
128,2610,16,major_issue,135,r2.1,0
129,2077,6,pass,251,r2.0,0
130,2217,34,unsafe,153,r2.0,0
131,3289,17,major_issue,268,r2.1,0
132,155,20,minor_issue,209,r2.0,0
133,1657,4,minor_issue,31,r2.1,0
134,3264,28,major_issue,417,r2.0,1
135,1283,6,unsafe,404,r2.1,0
136,2431,31,pass,90,r2.0,0
137,353,25,minor_issue,402,r2.0,1
138,1845,36,pass,117,r2.0,1
139,2448,1,unsafe,398,r2.1,1
140,3529,28,pass,255,r2.0,1
141,2536,43,unsafe,166,r2.0,0
142,2789,2,major_issue,210,r2.0,0
143,3874,36,unsafe,243,r2.0,0
144,804,27,unsafe,461,r2.0,0
145,291,8,pass,124,r2.0,0
146,2603,39,minor_issue,395,r2.1,0
147,3506,23,major_issue,289,r2.0,1
148,1763,4,pass,212,r2.0,1
149,1309,37,pass,400,r2.1,0
150,2548,31,unsafe,264,r2.0,0
151,3720,17,pass,163,r2.0,0
152,3575,1,pass,134,r2.0,0
153,1274,37,minor_issue,369,r2.1,0
154,1116,31,pass,167,r2.1,0
155,2184,1,major_issue,319,r2.0,0
156,2150,44,minor_issue,249,r2.1,0
157,2966,8,major_issue,364,r2.0,1
158,2148,30,minor_issue,217,r2.0,0
159,1959,41,major_issue,101,r2.1,1
160,119,26,minor_issue,282,r2.1,0
161,3934,18,minor_issue,320,r2.0,1
162,1009,20,pass,192,r2.0,0
163,462,29,major_issue,55,r2.1,0
164,3695,6,minor_issue,212,r2.0,0
165,358,5,pass,216,r2.1,1
166,1700,39,pass,366,r2.1,0
167,2698,23,major_issue,303,r2.1,0
168,2458,43,minor_issue,380,r2.1,0
169,1428,8,minor_issue,439,r2.0,0
170,298,21,major_issue,96,r2.1,0
171,2580,18,pass,303,r2.1,0
172,1214,2,pass,241,r2.1,0
173,2451,18,unsafe,193,r2.1,0
174,2516,7,unsafe,273,r2.0,0
175,2511,29,minor_issue,387,r2.0,1
176,588,22,major_issue,393,r2.0,0
177,1604,24,minor_issue,42,r2.1,0
178,2947,15,major_issue,115,r2.0,0
179,3398,24,minor_issue,85,r2.1,1
180,1919,20,major_issue,411,r2.1,0
181,1192,42,minor_issue,372,r2.1,0
182,1220,7,major_issue,336,r2.1,0
183,420,36,major_issue,453,r2.1,0
184,850,40,pass,124,r2.0,0
185,1737,15,pass,199,r2.1,0
186,2442,20,unsafe,73,r2.1,1
187,2648,7,minor_issue,122,r2.1,0
188,1046,32,unsafe,281,r2.0,0
189,49,30,major_issue,301,r2.1,1
190,2884,15,minor_issue,364,r2.1,1
191,1508,36,minor_issue,66,r2.1,0
192,1900,30,major_issue,466,r2.1,1
193,1857,1,minor_issue,282,r2.0,0
194,3142,6,minor_issue,38,r2.1,1
195,1125,20,unsafe,29,r2.1,0
196,1754,6,pass,433,r2.1,0
197,2626,8,major_issue,368,r2.0,0
198,1829,41,unsafe,267,r2.0,0
199,2870,38,major_issue,330,r2.1,0
200,793,15,minor_issue,40,r2.1,0
201,562,27,minor_issue,87,r2.1,0
202,2268,4,pass,124,r2.1,0
203,1018,30,pass,211,r2.1,0
204,1574,42,minor_issue,233,r2.1,0
205,1955,42,unsafe,119,r2.1,0
206,2536,5,unsafe,168,r2.1,0
207,3089,24,minor_issue,377,r2.1,0
208,1485,44,major_issue,49,r2.0,0
209,1976,2,major_issue,398,r2.1,0
210,279,32,major_issue,172,r2.1,0
211,2218,26,major_issue,207,r2.0,0
212,620,6,minor_issue,69,r2.1,1
213,19,14,minor_issue,190,r2.0,0
214,2959,3,minor_issue,329,r2.0,0
215,1374,17,unsafe,410,r2.0,0
216,185,34,major_issue,48,r2.0,0
217,1684,44,minor_issue,374,r2.1,0
218,1189,38,unsafe,306,r2.1,0
219,1126,7,minor_issue,430,r2.0,0
220,3591,32,minor_issue,448,r2.0,1
221,3497,37,minor_issue,234,r2.1,0
222,162,18,pass,190,r2.0,0
223,3167,39,major_issue,436,r2.1,0
224,1842,26,minor_issue,406,r2.1,0
225,268,27,unsafe,440,r2.1,0
226,3085,42,pass,138,r2.1,0
227,1166,14,pass,464,r2.0,0
228,3363,29,pass,435,r2.0,0
229,1421,5,minor_issue,169,r2.0,0
230,2376,13,major_issue,335,r2.1,0
231,770,21,pass,474,r2.1,0
232,872,31,minor_issue,185,r2.0,0
233,878,29,pass,462,r2.0,0
234,17,39,minor_issue,109,r2.1,0
235,2323,27,unsafe,209,r2.1,0
236,1426,16,major_issue,229,r2.1,0
237,3055,4,major_issue,62,r2.0,0
238,3195,41,pass,385,r2.0,0
239,2669,35,unsafe,443,r2.1,0
240,3978,6,pass,463,r2.0,0
241,3287,16,major_issue,477,r2.0,0
242,539,4,unsafe,452,r2.0,1
243,2320,30,unsafe,273,r2.1,0
244,471,11,minor_issue,155,r2.1,0
245,2716,38,major_issue,469,r2.1,0
246,1143,7,pass,32,r2.0,1
247,122,33,unsafe,82,r2.0,0
248,791,5,pass,298,r2.0,0
249,422,35,pass,183,r2.0,1
250,51,32,major_issue,110,r2.0,0
251,2190,29,major_issue,386,r2.1,0
252,646,28,pass,77,r2.0,0
253,3653,20,major_issue,171,r2.0,1
254,202,15,unsafe,94,r2.0,0
255,2833,31,major_issue,266,r2.1,0
256,1866,2,unsafe,94,r2.1,0
257,2974,20,unsafe,329,r2.0,0
258,2038,29,minor_issue,325,r2.0,0
259,1413,19,minor_issue,304,r2.0,1
260,378,1,pass,121,r2.1,0
261,2023,14,minor_issue,309,r2.1,0
262,1391,23,pass,340,r2.0,0
263,1089,35,major_issue,311,r2.0,0
264,2335,5,pass,286,r2.0,0
265,3881,31,unsafe,381,r2.1,0
266,2940,40,major_issue,314,r2.1,0
267,3134,38,pass,194,r2.0,0
268,2960,28,pass,408,r2.1,0
269,155,10,major_issue,466,r2.1,0
270,2034,41,unsafe,307,r2.0,1
271,152,23,pass,197,r2.0,0
272,36,5,pass,248,r2.0,1
273,2701,35,major_issue,184,r2.0,0
274,3795,31,pass,361,r2.0,0
275,3999,9,unsafe,66,r2.0,0
276,2446,29,unsafe,284,r2.0,0
277,2977,45,major_issue,300,r2.0,0
278,280,32,major_issue,437,r2.0,0
279,1170,6,unsafe,197,r2.1,0
280,621,9,pass,431,r2.1,0
281,2740,41,minor_issue,225,r2.0,0
282,3172,42,unsafe,151,r2.1,0
283,2166,26,unsafe,338,r2.0,0
284,1818,20,unsafe,143,r2.1,0
285,837,43,unsafe,289,r2.1,0
286,2792,12,unsafe,271,r2.1,0
287,2870,24,minor_issue,349,r2.1,1
288,2219,21,unsafe,100,r2.1,1
289,1801,13,minor_issue,344,r2.0,0
290,809,20,minor_issue,170,r2.0,0
291,189,1,major_issue,402,r2.1,0
292,453,18,pass,107,r2.1,0
293,3970,42,unsafe,126,r2.1,1
294,1160,35,major_issue,381,r2.1,0
295,1974,37,pass,123,r2.0,0
296,3131,4,unsafe,193,r2.0,1
297,3435,1,unsafe,279,r2.0,0
298,3934,12,major_issue,31,r2.1,0
299,3037,26,major_issue,94,r2.1,0
300,1319,15,major_issue,431,r2.0,0
301,1316,41,minor_issue,291,r2.1,0
302,276,35,unsafe,87,r2.0,1
303,1735,7,minor_issue,428,r2.0,0
304,78,9,unsafe,269,r2.0,0
305,2142,10,unsafe,96,r2.0,0
306,3834,12,minor_issue,97,r2.0,1
307,3714,17,minor_issue,30,r2.0,0
308,1677,38,pass,396,r2.0,0
309,51,26,pass,320,r2.0,0
310,881,14,pass,334,r2.0,0
311,2294,10,major_issue,257,r2.0,1
312,1925,7,unsafe,322,r2.0,0
313,1734,1,major_issue,101,r2.1,1
314,1099,40,pass,240,r2.1,1
315,995,41,major_issue,266,r2.0,1
316,2685,31,pass,280,r2.1,0
317,1514,4,unsafe,365,r2.0,0
318,3637,12,pass,228,r2.0,0
319,596,44,pass,311,r2.1,0
320,2055,18,unsafe,218,r2.0,1
321,353,3,unsafe,328,r2.1,0
322,1480,7,major_issue,172,r2.1,0
323,3906,29,pass,254,r2.0,0
324,1649,7,unsafe,437,r2.0,0
325,3217,44,pass,192,r2.1,1
326,3190,15,unsafe,294,r2.1,0
327,2203,7,minor_issue,54,r2.0,0
328,2647,15,minor_issue,123,r2.1,0
329,3629,6,minor_issue,458,r2.1,0
330,3584,37,pass,406,r2.0,0
331,2438,20,major_issue,156,r2.0,0
332,700,37,pass,230,r2.0,0
333,3413,26,unsafe,206,r2.1,0
334,3783,19,pass,427,r2.0,0
335,303,24,major_issue,153,r2.1,0
336,192,43,pass,140,r2.0,0
337,3514,40,pass,246,r2.0,0
338,1100,27,major_issue,225,r2.0,0
339,1950,21,unsafe,280,r2.1,0
340,2281,9,minor_issue,386,r2.0,0
341,1817,22,pass,38,r2.1,0
342,1335,13,major_issue,307,r2.0,0
343,131,19,minor_issue,46,r2.0,0
344,2166,17,minor_issue,197,r2.0,0
345,240,36,major_issue,408,r2.1,0
346,3022,28,major_issue,414,r2.1,0
347,2597,8,major_issue,284,r2.1,1
348,1620,18,pass,254,r2.0,0
349,2149,39,major_issue,68,r2.0,0
350,3000,6,minor_issue,415,r2.0,1
351,1394,29,major_issue,92,r2.0,0
352,63,23,unsafe,317,r2.1,0
353,2203,6,pass,280,r2.0,0
354,167,3,pass,461,r2.0,0
355,2345,25,pass,105,r2.1,0
356,2543,21,minor_issue,80,r2.0,0
357,631,21,unsafe,379,r2.0,0
358,1930,39,unsafe,165,r2.1,0
359,2163,27,unsafe,110,r2.1,0
360,255,11,minor_issue,236,r2.0,1
361,785,23,major_issue,301,r2.1,0
362,2963,20,pass,376,r2.0,1
363,3452,37,major_issue,142,r2.1,0
364,2861,7,major_issue,179,r2.1,0
365,2168,29,minor_issue,104,r2.0,0
366,2649,28,minor_issue,435,r2.0,0
367,1022,23,major_issue,310,r2.1,0
368,1580,7,major_issue,423,r2.1,0
369,518,1,pass,103,r2.1,0
370,575,18,major_issue,234,r2.0,1
371,2426,1,major_issue,147,r2.0,0
372,1170,24,minor_issue,97,r2.0,1
373,562,41,pass,82,r2.1,0
374,1466,17,unsafe,325,r2.1,0
375,1377,5,minor_issue,196,r2.1,1
376,1743,45,pass,43,r2.1,0
377,1981,24,major_issue,156,r2.1,1
378,586,40,major_issue,205,r2.1,1
379,1392,11,unsafe,262,r2.0,0
380,2732,7,minor_issue,212,r2.0,0
381,625,4,pass,222,r2.0,1
382,1421,7,major_issue,318,r2.1,1
383,3752,5,minor_issue,198,r2.1,0
384,1835,20,pass,243,r2.0,1
385,1713,24,pass,87,r2.0,0
386,3501,30,minor_issue,370,r2.0,0
387,2098,9,unsafe,403,r2.1,1
388,224,39,minor_issue,354,r2.1,0
389,2462,39,major_issue,381,r2.1,1
390,2831,41,minor_issue,302,r2.1,0
391,3832,36,pass,257,r2.1,0
392,1930,18,unsafe,165,r2.1,0
393,794,34,major_issue,479,r2.0,0
394,497,28,pass,217,r2.1,1
395,1904,36,major_issue,389,r2.0,0
396,19,32,minor_issue,31,r2.1,0
397,191,19,unsafe,82,r2.0,0
398,2437,12,pass,233,r2.1,0
399,2679,10,major_issue,253,r2.0,0
400,387,15,pass,252,r2.0,0
401,2916,32,pass,380,r2.0,0
402,3428,1,unsafe,238,r2.0,1
403,369,4,major_issue,92,r2.1,1
404,3677,16,unsafe,226,r2.0,0
405,486,21,pass,300,r2.0,1
406,977,32,pass,352,r2.1,0
407,323,43,unsafe,121,r2.0,0
408,2776,41,major_issue,96,r2.0,0
409,2842,24,major_issue,184,r2.1,1
410,2984,15,pass,272,r2.0,0
411,3577,1,pass,154,r2.1,0
412,546,10,major_issue,240,r2.0,0
413,522,8,major_issue,172,r2.1,1
414,2344,5,pass,121,r2.0,1
415,3936,37,minor_issue,404,r2.1,0
416,2652,43,minor_issue,94,r2.0,0
417,2752,7,unsafe,367,r2.0,0
418,755,29,pass,216,r2.1,0
419,3348,13,unsafe,377,r2.0,1
420,1737,20,pass,144,r2.1,0
421,3782,43,pass,32,r2.1,0
422,346,45,major_issue,400,r2.0,1
423,1494,13,major_issue,476,r2.1,0
424,1734,5,minor_issue,310,r2.0,1
425,2727,25,unsafe,239,r2.1,0
426,2326,41,major_issue,206,r2.0,0
427,3604,10,pass,444,r2.1,0
428,2323,8,pass,177,r2.0,0
429,3832,43,unsafe,244,r2.0,0
430,355,10,minor_issue,363,r2.0,0
431,3238,5,major_issue,457,r2.1,1
432,559,22,minor_issue,389,r2.1,0
433,1617,19,major_issue,423,r2.0,0
434,1241,25,major_issue,156,r2.0,1
435,3940,14,major_issue,34,r2.0,0
436,2523,42,major_issue,143,r2.1,0
437,3375,15,major_issue,28,r2.0,1
438,1339,21,unsafe,35,r2.1,0
439,481,30,minor_issue,26,r2.0,0
440,2682,38,unsafe,469,r2.0,0
441,3603,3,pass,208,r2.0,0
442,2239,32,unsafe,51,r2.0,0
443,1527,21,pass,244,r2.0,1
444,2875,32,major_issue,40,r2.0,0
445,557,37,minor_issue,136,r2.0,0
446,2613,16,major_issue,99,r2.0,0
447,1855,33,pass,475,r2.0,0
448,2325,4,minor_issue,48,r2.0,1
449,246,26,minor_issue,255,r2.0,0
450,3386,23,unsafe,154,r2.0,0
