case_id,industry,region,risk_tier,stream_hour,selected_for_label,selection_probability,label_cost_usd
1,healthcare,EMEA,medium,14,0,0.178,15.17
2,education,EMEA,medium,14,1,0.345,2.2
3,healthcare,APAC,high,1,0,0.195,13.35
4,finance,EMEA,low,6,0,0.152,5.87
5,finance,NA,low,19,0,0.059,13.0
6,healthcare,APAC,low,2,1,0.233,9.17
7,public_sector,NA,medium,15,0,0.15,13.14
8,education,NA,low,15,0,0.071,4.52
9,public_sector,NA,low,23,0,0.3,4.4
10,public_sector,APAC,medium,13,0,0.202,2.96
11,healthcare,EMEA,low,2,1,0.258,3.29
12,healthcare,EMEA,low,3,0,0.168,15.66
13,healthcare,APAC,medium,5,0,0.349,5.93
14,retail,APAC,low,5,0,0.349,5.52
15,healthcare,NA,medium,8,0,0.226,17.35
16,retail,EMEA,medium,15,0,0.136,10.03
17,retail,NA,medium,2,0,0.096,10.25
18,finance,EMEA,low,21,0,0.122,2.43
19,public_sector,APAC,high,20,0,0.106,10.78
20,education,APAC,low,13,1,0.173,2.44
21,healthcare,NA,high,22,0,0.236,3.42
22,education,NA,medium,20,0,0.079,12.8
23,public_sector,APAC,high,21,0,0.263,13.13
24,education,APAC,medium,20,1,0.192,11.94
25,retail,NA,low,8,0,0.278,2.82
26,retail,APAC,low,6,1,0.293,1.52
27,public_sector,NA,low,10,0,0.085,6.97
28,public_sector,NA,low,8,0,0.2,7.84
29,education,NA,high,16,0,0.287,16.15
30,public_sector,EMEA,medium,8,0,0.108,5.39
31,finance,APAC,low,19,0,0.231,17.41
32,healthcare,NA,low,11,0,0.061,12.34
33,public_sector,NA,high,19,0,0.06,14.33
34,education,EMEA,medium,9,0,0.219,11.34
35,public_sector,NA,medium,21,1,0.172,10.25
36,public_sector,NA,low,23,0,0.07,7.71
37,education,EMEA,medium,21,0,0.349,17.79
38,retail,APAC,low,3,0,0.339,9.25
39,finance,APAC,low,0,0,0.127,13.79
40,finance,NA,low,18,0,0.122,3.17
41,finance,APAC,low,7,0,0.251,13.39
42,finance,APAC,low,5,0,0.182,7.01
43,retail,EMEA,medium,2,1,0.139,15.18
44,public_sector,EMEA,medium,8,0,0.23,4.18
45,public_sector,EMEA,medium,23,0,0.094,5.91
46,education,NA,low,11,0,0.269,6.55
47,public_sector,EMEA,medium,7,1,0.125,10.97
48,retail,EMEA,high,5,0,0.316,7.34
49,healthcare,EMEA,low,21,0,0.312,12.85
50,finance,NA,medium,3,0,0.195,16.07
51,healthcare,EMEA,medium,22,0,0.274,6.85
