ticket_id,experiment_name,variant
1,agent_assist_aug26,control
2,agent_assist_aug26,treatment
3,agent_assist_aug26,control
4,agent_assist_aug26,treatment
5,agent_assist_aug26,control
6,agent_assist_aug26,treatment
7,agent_assist_aug26,control
8,agent_assist_aug26,treatment
9,agent_assist_aug26,control
10,agent_assist_aug26,treatment
11,agent_assist_aug26,control
12,agent_assist_aug26,treatment
13,agent_assist_aug26,control
14,agent_assist_aug26,treatment
15,agent_assist_aug26,control
16,agent_assist_aug26,treatment
17,agent_assist_aug26,control
18,agent_assist_aug26,treatment
19,agent_assist_aug26,control
20,agent_assist_aug26,treatment
21,agent_assist_aug26,control
22,agent_assist_aug26,treatment
23,agent_assist_aug26,control
24,agent_assist_aug26,treatment
25,agent_assist_aug26,control
26,agent_assist_aug26,treatment
27,agent_assist_aug26,control
28,agent_assist_aug26,treatment
29,agent_assist_aug26,control
30,agent_assist_aug26,treatment
31,agent_assist_aug26,control
32,agent_assist_aug26,treatment
33,agent_assist_aug26,control
34,agent_assist_aug26,treatment
35,agent_assist_aug26,control
36,agent_assist_aug26,treatment
37,agent_assist_aug26,control
38,agent_assist_aug26,treatment
39,agent_assist_aug26,control
40,agent_assist_aug26,treatment
41,agent_assist_aug26,control
42,agent_assist_aug26,treatment
43,agent_assist_aug26,control
44,agent_assist_aug26,treatment
45,agent_assist_aug26,control
46,agent_assist_aug26,treatment
47,agent_assist_aug26,control
48,agent_assist_aug26,treatment
49,agent_assist_aug26,control
50,agent_assist_aug26,treatment
51,agent_assist_aug26,control
52,agent_assist_aug26,treatment
53,agent_assist_aug26,control
54,agent_assist_aug26,treatment
55,agent_assist_aug26,control
56,agent_assist_aug26,treatment
57,agent_assist_aug26,control
58,agent_assist_aug26,treatment
59,agent_assist_aug26,control
60,agent_assist_aug26,treatment
61,agent_assist_aug26,control
62,agent_assist_aug26,treatment
63,agent_assist_aug26,control
64,agent_assist_aug26,treatment
65,agent_assist_aug26,control
66,agent_assist_aug26,treatment
67,agent_assist_aug26,control
68,agent_assist_aug26,treatment
69,agent_assist_aug26,control
70,agent_assist_aug26,treatment
71,agent_assist_aug26,control
72,agent_assist_aug26,treatment
73,agent_assist_aug26,control
74,agent_assist_aug26,treatment
75,agent_assist_aug26,control
76,agent_assist_aug26,treatment
77,agent_assist_aug26,control
78,agent_assist_aug26,treatment
79,agent_assist_aug26,control
80,agent_assist_aug26,treatment
81,agent_assist_aug26,control
82,agent_assist_aug26,treatment
83,agent_assist_aug26,control
84,agent_assist_aug26,treatment
85,agent_assist_aug26,control
86,agent_assist_aug26,treatment
87,agent_assist_aug26,control
88,agent_assist_aug26,treatment
89,agent_assist_aug26,control
90,agent_assist_aug26,treatment
91,agent_assist_aug26,control
92,agent_assist_aug26,treatment
93,agent_assist_aug26,control
94,agent_assist_aug26,treatment
95,agent_assist_aug26,control
96,agent_assist_aug26,treatment
97,agent_assist_aug26,control
98,agent_assist_aug26,treatment
99,agent_assist_aug26,control
100,agent_assist_aug26,treatment
101,agent_assist_aug26,control
102,agent_assist_aug26,treatment
103,agent_assist_aug26,control
104,agent_assist_aug26,treatment
105,agent_assist_aug26,control
106,agent_assist_aug26,treatment
107,agent_assist_aug26,control
108,agent_assist_aug26,treatment
109,agent_assist_aug26,control
110,agent_assist_aug26,treatment
111,agent_assist_aug26,control
112,agent_assist_aug26,treatment
113,agent_assist_aug26,control
114,agent_assist_aug26,treatment
115,agent_assist_aug26,control
116,agent_assist_aug26,treatment
117,agent_assist_aug26,control
118,agent_assist_aug26,treatment
119,agent_assist_aug26,control
120,agent_assist_aug26,treatment
121,agent_assist_aug26,control
122,agent_assist_aug26,treatment
123,agent_assist_aug26,control
124,agent_assist_aug26,treatment
125,agent_assist_aug26,control
126,agent_assist_aug26,treatment
127,agent_assist_aug26,control
128,agent_assist_aug26,treatment
129,agent_assist_aug26,control
130,agent_assist_aug26,treatment
131,agent_assist_aug26,control
132,agent_assist_aug26,treatment
133,agent_assist_aug26,control
134,agent_assist_aug26,treatment
135,agent_assist_aug26,control
136,agent_assist_aug26,treatment
137,agent_assist_aug26,control
138,agent_assist_aug26,treatment
139,agent_assist_aug26,control
140,agent_assist_aug26,treatment
141,agent_assist_aug26,control
142,agent_assist_aug26,treatment
143,agent_assist_aug26,control
144,agent_assist_aug26,treatment
145,agent_assist_aug26,control
146,agent_assist_aug26,treatment
147,agent_assist_aug26,control
148,agent_assist_aug26,treatment
149,agent_assist_aug26,control
150,agent_assist_aug26,treatment
151,agent_assist_aug26,control
152,agent_assist_aug26,treatment
153,agent_assist_aug26,control
154,agent_assist_aug26,treatment
155,agent_assist_aug26,control
156,agent_assist_aug26,treatment
157,agent_assist_aug26,control
158,agent_assist_aug26,treatment
159,agent_assist_aug26,control
160,agent_assist_aug26,treatment
161,agent_assist_aug26,control
162,agent_assist_aug26,treatment
163,agent_assist_aug26,control
164,agent_assist_aug26,treatment
165,agent_assist_aug26,control
166,agent_assist_aug26,treatment
167,agent_assist_aug26,control
168,agent_assist_aug26,treatment
169,agent_assist_aug26,control
170,agent_assist_aug26,treatment
171,agent_assist_aug26,control
172,agent_assist_aug26,treatment
173,agent_assist_aug26,control
174,agent_assist_aug26,treatment
175,agent_assist_aug26,control
176,agent_assist_aug26,treatment
177,agent_assist_aug26,control
178,agent_assist_aug26,treatment
179,agent_assist_aug26,control
180,agent_assist_aug26,treatment
181,agent_assist_aug26,control
182,agent_assist_aug26,treatment
183,agent_assist_aug26,control
184,agent_assist_aug26,treatment
185,agent_assist_aug26,control
186,agent_assist_aug26,treatment
187,agent_assist_aug26,control
188,agent_assist_aug26,treatment
189,agent_assist_aug26,control
190,agent_assist_aug26,treatment
191,agent_assist_aug26,control
192,agent_assist_aug26,treatment
193,agent_assist_aug26,control
194,agent_assist_aug26,treatment
195,agent_assist_aug26,control
196,agent_assist_aug26,treatment
197,agent_assist_aug26,control
198,agent_assist_aug26,treatment
199,agent_assist_aug26,control
200,agent_assist_aug26,treatment
201,agent_assist_aug26,control
202,agent_assist_aug26,treatment
203,agent_assist_aug26,control
204,agent_assist_aug26,treatment
205,agent_assist_aug26,control
206,agent_assist_aug26,treatment
207,agent_assist_aug26,control
208,agent_assist_aug26,treatment
209,agent_assist_aug26,control
210,agent_assist_aug26,treatment
211,agent_assist_aug26,control
212,agent_assist_aug26,treatment
213,agent_assist_aug26,control
214,agent_assist_aug26,treatment
215,agent_assist_aug26,control
216,agent_assist_aug26,treatment
217,agent_assist_aug26,control
218,agent_assist_aug26,treatment
219,agent_assist_aug26,control
220,agent_assist_aug26,treatment
221,agent_assist_aug26,control
222,agent_assist_aug26,treatment
223,agent_assist_aug26,control
224,agent_assist_aug26,treatment
225,agent_assist_aug26,control
226,agent_assist_aug26,treatment
227,agent_assist_aug26,control
228,agent_assist_aug26,treatment
229,agent_assist_aug26,control
230,agent_assist_aug26,treatment
231,agent_assist_aug26,control
232,agent_assist_aug26,treatment
233,agent_assist_aug26,control
234,agent_assist_aug26,treatment
235,agent_assist_aug26,control
236,agent_assist_aug26,treatment
237,agent_assist_aug26,control
238,agent_assist_aug26,treatment
239,agent_assist_aug26,control
240,agent_assist_aug26,treatment
241,agent_assist_aug26,control
242,agent_assist_aug26,treatment
243,agent_assist_aug26,control
244,agent_assist_aug26,treatment
245,agent_assist_aug26,control
246,agent_assist_aug26,treatment
247,agent_assist_aug26,control
248,agent_assist_aug26,treatment
249,agent_assist_aug26,control
250,agent_assist_aug26,treatment
251,agent_assist_aug26,control
252,agent_assist_aug26,treatment
253,agent_assist_aug26,control
254,agent_assist_aug26,treatment
255,agent_assist_aug26,control
256,agent_assist_aug26,treatment
257,agent_assist_aug26,control
258,agent_assist_aug26,treatment
259,agent_assist_aug26,control
260,agent_assist_aug26,treatment
261,agent_assist_aug26,control
262,agent_assist_aug26,treatment
263,agent_assist_aug26,control
264,agent_assist_aug26,treatment
265,agent_assist_aug26,control
266,agent_assist_aug26,treatment
267,agent_assist_aug26,control
268,agent_assist_aug26,treatment
269,agent_assist_aug26,control
270,agent_assist_aug26,treatment
271,agent_assist_aug26,control
272,agent_assist_aug26,treatment
273,agent_assist_aug26,control
274,agent_assist_aug26,treatment
275,agent_assist_aug26,control
276,agent_assist_aug26,treatment
277,agent_assist_aug26,control
278,agent_assist_aug26,treatment
279,agent_assist_aug26,control
280,agent_assist_aug26,treatment
281,agent_assist_aug26,control
282,agent_assist_aug26,treatment
283,agent_assist_aug26,control
284,agent_assist_aug26,treatment
285,agent_assist_aug26,control
286,agent_assist_aug26,treatment
287,agent_assist_aug26,control
288,agent_assist_aug26,treatment
289,agent_assist_aug26,control
290,agent_assist_aug26,treatment
291,agent_assist_aug26,control
292,agent_assist_aug26,treatment
293,agent_assist_aug26,control
294,agent_assist_aug26,treatment
295,agent_assist_aug26,control
296,agent_assist_aug26,treatment
297,agent_assist_aug26,control
298,agent_assist_aug26,treatment
299,agent_assist_aug26,control
300,agent_assist_aug26,treatment
301,agent_assist_aug26,control
302,agent_assist_aug26,treatment
303,agent_assist_aug26,control
304,agent_assist_aug26,treatment
305,agent_assist_aug26,control
306,agent_assist_aug26,treatment
307,agent_assist_aug26,control
308,agent_assist_aug26,treatment
309,agent_assist_aug26,control
310,agent_assist_aug26,treatment
311,agent_assist_aug26,control
312,agent_assist_aug26,treatment
313,agent_assist_aug26,control
314,agent_assist_aug26,treatment
