user_id,experiment_name,variant,assigned_date
1,home_ranker_aug26,control,2026-05-01
2,home_ranker_aug26,treatment,2026-05-01
3,home_ranker_aug26,control,2026-05-01
4,home_ranker_aug26,treatment,2026-05-01
5,home_ranker_aug26,control,2026-05-01
6,home_ranker_aug26,treatment,2026-05-01
7,home_ranker_aug26,control,2026-05-01
8,home_ranker_aug26,treatment,2026-05-01
9,home_ranker_aug26,control,2026-05-01
10,home_ranker_aug26,treatment,2026-05-01
11,home_ranker_aug26,control,2026-05-01
12,home_ranker_aug26,treatment,2026-05-01
13,home_ranker_aug26,control,2026-05-01
14,home_ranker_aug26,treatment,2026-05-01
15,home_ranker_aug26,control,2026-05-01
16,home_ranker_aug26,treatment,2026-05-01
17,home_ranker_aug26,control,2026-05-01
18,home_ranker_aug26,treatment,2026-05-01
19,home_ranker_aug26,control,2026-05-01
20,home_ranker_aug26,treatment,2026-05-01
21,home_ranker_aug26,control,2026-05-01
22,home_ranker_aug26,treatment,2026-05-01
23,home_ranker_aug26,control,2026-05-01
24,home_ranker_aug26,treatment,2026-05-01
25,home_ranker_aug26,control,2026-05-01
26,home_ranker_aug26,treatment,2026-05-01
27,home_ranker_aug26,control,2026-05-01
28,home_ranker_aug26,treatment,2026-05-01
29,home_ranker_aug26,control,2026-05-01
30,home_ranker_aug26,treatment,2026-05-01
31,home_ranker_aug26,control,2026-05-01
32,home_ranker_aug26,treatment,2026-05-01
33,home_ranker_aug26,control,2026-05-01
34,home_ranker_aug26,treatment,2026-05-01
35,home_ranker_aug26,control,2026-05-01
36,home_ranker_aug26,treatment,2026-05-01
37,home_ranker_aug26,control,2026-05-01
38,home_ranker_aug26,treatment,2026-05-01
39,home_ranker_aug26,control,2026-05-01
40,home_ranker_aug26,treatment,2026-05-01
41,home_ranker_aug26,control,2026-05-01
42,home_ranker_aug26,treatment,2026-05-01
43,home_ranker_aug26,control,2026-05-01
44,home_ranker_aug26,treatment,2026-05-01
45,home_ranker_aug26,control,2026-05-01
46,home_ranker_aug26,treatment,2026-05-01
47,home_ranker_aug26,control,2026-05-01
48,home_ranker_aug26,treatment,2026-05-01
49,home_ranker_aug26,control,2026-05-01
50,home_ranker_aug26,treatment,2026-05-01
51,home_ranker_aug26,control,2026-05-01
52,home_ranker_aug26,treatment,2026-05-01
53,home_ranker_aug26,control,2026-05-01
54,home_ranker_aug26,treatment,2026-05-01
55,home_ranker_aug26,control,2026-05-01
56,home_ranker_aug26,treatment,2026-05-01
57,home_ranker_aug26,control,2026-05-01
58,home_ranker_aug26,treatment,2026-05-01
59,home_ranker_aug26,control,2026-05-01
60,home_ranker_aug26,treatment,2026-05-01
61,home_ranker_aug26,control,2026-05-01
62,home_ranker_aug26,treatment,2026-05-01
63,home_ranker_aug26,control,2026-05-01
64,home_ranker_aug26,treatment,2026-05-01
65,home_ranker_aug26,control,2026-05-01
66,home_ranker_aug26,treatment,2026-05-01
67,home_ranker_aug26,control,2026-05-01
68,home_ranker_aug26,treatment,2026-05-01
69,home_ranker_aug26,control,2026-05-01
70,home_ranker_aug26,treatment,2026-05-01
71,home_ranker_aug26,control,2026-05-01
72,home_ranker_aug26,treatment,2026-05-01
73,home_ranker_aug26,control,2026-05-01
74,home_ranker_aug26,treatment,2026-05-01
75,home_ranker_aug26,control,2026-05-01
76,home_ranker_aug26,treatment,2026-05-01
77,home_ranker_aug26,control,2026-05-01
78,home_ranker_aug26,treatment,2026-05-01
79,home_ranker_aug26,control,2026-05-01
80,home_ranker_aug26,treatment,2026-05-01
81,home_ranker_aug26,control,2026-05-01
82,home_ranker_aug26,treatment,2026-05-01
83,home_ranker_aug26,control,2026-05-01
84,home_ranker_aug26,treatment,2026-05-01
85,home_ranker_aug26,control,2026-05-01
86,home_ranker_aug26,treatment,2026-05-01
87,home_ranker_aug26,control,2026-05-01
88,home_ranker_aug26,treatment,2026-05-01
89,home_ranker_aug26,control,2026-05-01
90,home_ranker_aug26,treatment,2026-05-01
91,home_ranker_aug26,control,2026-05-01
92,home_ranker_aug26,treatment,2026-05-01
93,home_ranker_aug26,control,2026-05-01
94,home_ranker_aug26,treatment,2026-05-01
95,home_ranker_aug26,control,2026-05-01
96,home_ranker_aug26,treatment,2026-05-01
97,home_ranker_aug26,control,2026-05-01
98,home_ranker_aug26,treatment,2026-05-01
99,home_ranker_aug26,control,2026-05-01
100,home_ranker_aug26,treatment,2026-05-01
101,home_ranker_aug26,control,2026-05-01
102,home_ranker_aug26,treatment,2026-05-01
103,home_ranker_aug26,control,2026-05-01
104,home_ranker_aug26,treatment,2026-05-01
105,home_ranker_aug26,control,2026-05-01
106,home_ranker_aug26,treatment,2026-05-01
107,home_ranker_aug26,control,2026-05-01
108,home_ranker_aug26,treatment,2026-05-01
109,home_ranker_aug26,control,2026-05-01
110,home_ranker_aug26,treatment,2026-05-01
111,home_ranker_aug26,control,2026-05-01
112,home_ranker_aug26,treatment,2026-05-01
113,home_ranker_aug26,control,2026-05-01
114,home_ranker_aug26,treatment,2026-05-01
115,home_ranker_aug26,control,2026-05-01
116,home_ranker_aug26,treatment,2026-05-01
117,home_ranker_aug26,control,2026-05-01
118,home_ranker_aug26,treatment,2026-05-01
119,home_ranker_aug26,control,2026-05-01
120,home_ranker_aug26,treatment,2026-05-01
121,home_ranker_aug26,control,2026-05-01
122,home_ranker_aug26,treatment,2026-05-01
123,home_ranker_aug26,control,2026-05-01
124,home_ranker_aug26,treatment,2026-05-01
125,home_ranker_aug26,control,2026-05-01
126,home_ranker_aug26,treatment,2026-05-01
127,home_ranker_aug26,control,2026-05-01
128,home_ranker_aug26,treatment,2026-05-01
129,home_ranker_aug26,control,2026-05-01
130,home_ranker_aug26,treatment,2026-05-01
131,home_ranker_aug26,control,2026-05-01
132,home_ranker_aug26,treatment,2026-05-01
133,home_ranker_aug26,control,2026-05-01
134,home_ranker_aug26,treatment,2026-05-01
135,home_ranker_aug26,control,2026-05-01
136,home_ranker_aug26,treatment,2026-05-01
137,home_ranker_aug26,control,2026-05-01
138,home_ranker_aug26,treatment,2026-05-01
139,home_ranker_aug26,control,2026-05-01
140,home_ranker_aug26,treatment,2026-05-01
141,home_ranker_aug26,control,2026-05-01
142,home_ranker_aug26,treatment,2026-05-01
143,home_ranker_aug26,control,2026-05-01
144,home_ranker_aug26,treatment,2026-05-01
145,home_ranker_aug26,control,2026-05-01
146,home_ranker_aug26,treatment,2026-05-01
147,home_ranker_aug26,control,2026-05-01
148,home_ranker_aug26,treatment,2026-05-01
149,home_ranker_aug26,control,2026-05-01
150,home_ranker_aug26,treatment,2026-05-01
151,home_ranker_aug26,control,2026-05-01
152,home_ranker_aug26,treatment,2026-05-01
153,home_ranker_aug26,control,2026-05-01
154,home_ranker_aug26,treatment,2026-05-01
155,home_ranker_aug26,control,2026-05-01
156,home_ranker_aug26,treatment,2026-05-01
157,home_ranker_aug26,control,2026-05-01
158,home_ranker_aug26,treatment,2026-05-01
159,home_ranker_aug26,control,2026-05-01
160,home_ranker_aug26,treatment,2026-05-01
161,home_ranker_aug26,control,2026-05-01
162,home_ranker_aug26,treatment,2026-05-01
163,home_ranker_aug26,control,2026-05-01
164,home_ranker_aug26,treatment,2026-05-01
165,home_ranker_aug26,control,2026-05-01
166,home_ranker_aug26,treatment,2026-05-01
167,home_ranker_aug26,control,2026-05-01
168,home_ranker_aug26,treatment,2026-05-01
169,home_ranker_aug26,control,2026-05-01
170,home_ranker_aug26,treatment,2026-05-01
171,home_ranker_aug26,control,2026-05-01
172,home_ranker_aug26,treatment,2026-05-01
173,home_ranker_aug26,control,2026-05-01
174,home_ranker_aug26,treatment,2026-05-01
