user_id,event_date,event_type
8,2026-06-28,downgrade
11,2026-07-04,downgrade
14,2026-06-21,upgrade
20,2026-07-05,upgrade
37,2026-06-23,upgrade
42,2026-06-13,downgrade
60,2026-05-25,upgrade
74,2026-06-22,upgrade
77,2026-06-05,upgrade
87,2026-05-25,downgrade
88,2026-06-27,cancel
93,2026-05-02,renew
99,2026-06-17,cancel
114,2026-07-02,downgrade
131,2026-06-30,upgrade
138,2026-06-30,renew
144,2026-05-06,renew
147,2026-05-04,upgrade
149,2026-05-19,downgrade
151,2026-06-14,renew
153,2026-07-29,downgrade
157,2026-05-29,cancel
158,2026-06-12,cancel
159,2026-05-09,renew
163,2026-05-06,cancel
164,2026-05-17,downgrade
183,2026-06-30,upgrade
190,2026-06-15,renew
205,2026-06-21,upgrade
229,2026-07-02,downgrade
246,2026-07-07,renew
257,2026-07-04,cancel
258,2026-05-17,renew
260,2026-06-13,renew
277,2026-07-20,downgrade
281,2026-07-21,cancel
289,2026-07-17,cancel
292,2026-06-15,downgrade
296,2026-06-23,upgrade
308,2026-07-17,cancel
310,2026-06-17,downgrade
315,2026-07-10,cancel
316,2026-05-05,upgrade
325,2026-06-16,upgrade
330,2026-06-28,upgrade
345,2026-07-21,renew
353,2026-06-21,renew
356,2026-06-18,upgrade
358,2026-07-05,cancel
362,2026-05-31,renew
369,2026-06-09,renew
373,2026-07-04,downgrade
377,2026-06-06,upgrade
383,2026-07-19,downgrade
391,2026-05-25,renew
395,2026-07-16,renew
401,2026-05-14,renew
402,2026-06-13,downgrade
406,2026-07-07,renew
407,2026-07-16,upgrade
411,2026-07-26,downgrade
417,2026-05-01,renew
418,2026-06-04,upgrade
423,2026-07-15,upgrade
432,2026-06-10,renew
445,2026-06-05,renew
456,2026-06-08,renew
473,2026-07-01,upgrade
476,2026-07-11,renew
494,2026-05-27,cancel
501,2026-06-07,downgrade
510,2026-06-13,cancel
512,2026-05-17,cancel
517,2026-07-27,cancel
537,2026-05-28,cancel
553,2026-07-24,downgrade
554,2026-05-13,renew
565,2026-05-01,cancel
566,2026-07-08,downgrade
575,2026-07-18,cancel
582,2026-05-06,downgrade
591,2026-06-09,upgrade
593,2026-06-14,downgrade
603,2026-06-02,downgrade
607,2026-06-03,renew
611,2026-07-14,renew
633,2026-06-11,downgrade
645,2026-06-10,cancel
646,2026-05-14,downgrade
649,2026-05-31,cancel
655,2026-06-29,renew
665,2026-05-12,downgrade
668,2026-07-10,downgrade
673,2026-05-27,upgrade
686,2026-07-05,upgrade
702,2026-07-29,downgrade
703,2026-06-02,downgrade
706,2026-06-20,downgrade
707,2026-05-04,downgrade
721,2026-07-23,renew
726,2026-07-20,renew
730,2026-05-10,downgrade
743,2026-05-17,renew
753,2026-07-26,upgrade
758,2026-07-21,upgrade
760,2026-07-09,upgrade
780,2026-05-12,downgrade
784,2026-05-26,cancel
797,2026-06-19,renew
828,2026-06-07,renew
839,2026-07-19,cancel
848,2026-07-11,downgrade
852,2026-05-29,renew
855,2026-06-03,renew
878,2026-06-18,renew
880,2026-06-03,downgrade
886,2026-05-14,renew
902,2026-06-17,downgrade
934,2026-06-18,upgrade
946,2026-05-18,upgrade
949,2026-06-20,cancel
975,2026-05-15,renew
976,2026-07-01,downgrade
992,2026-05-26,renew
