user_id,country,plan_type,signup_date,age_group,is_active
1,US,Standard,2025-06-08,25-34,1
2,US,Standard,2025-04-19,55+,1
3,US,Standard,2025-09-27,25-34,1
4,GB,Standard,2026-04-18,55+,1
5,GB,Student,2025-09-14,18-24,1
6,DE,Standard,2026-02-09,25-34,1
7,US,Standard,2025-04-06,18-24,1
8,GB,Student,2025-11-06,45-54,1
9,IN,Standard,2024-12-19,35-44,1
10,IN,Standard,2025-06-19,25-34,1
11,DE,Student,2026-04-08,18-24,1
12,US,Standard,2025-02-12,35-44,1
13,US,Standard,2025-11-01,18-24,1
14,GB,Standard,2026-02-03,45-54,1
15,GB,Standard,2025-01-13,35-44,1
16,US,Student,2025-03-30,35-44,1
17,US,"Channel Bundle",2026-03-29,35-44,1
18,US,"Channel Bundle",2025-08-19,45-54,1
19,US,Standard,2026-02-19,35-44,1
20,IN,Standard,2025-09-24,25-34,1
21,CA,Standard,2026-02-20,18-24,1
22,GB,Student,2026-02-12,45-54,1
23,US,"Channel Bundle",2025-10-16,55+,1
24,IN,Standard,2025-07-22,18-24,1
25,IN,Student,2025-07-31,35-44,1
26,US,Standard,2025-09-21,35-44,1
27,US,"Channel Bundle",2025-04-06,35-44,1
28,GB,Standard,2025-08-15,25-34,1
29,IN,"Channel Bundle",2025-03-29,55+,1
30,US,Standard,2026-04-22,35-44,1
31,IN,"Channel Bundle",2025-12-29,18-24,1
32,US,Student,2025-03-10,25-34,1
33,IN,Standard,2025-08-31,55+,1
34,IN,"Channel Bundle",2025-09-27,25-34,1
35,IN,Standard,2025-10-09,45-54,1
36,US,Standard,2025-09-12,35-44,0
37,US,Standard,2025-07-22,18-24,1
38,US,"Channel Bundle",2026-04-01,35-44,0
39,US,Standard,2025-12-31,55+,1
40,IN,Standard,2025-01-08,25-34,1
41,US,Standard,2025-03-14,45-54,1
42,CA,Standard,2025-10-03,18-24,0
43,US,"Channel Bundle",2025-04-24,25-34,1
44,US,Standard,2025-07-31,35-44,1
45,IN,Standard,2025-02-08,55+,1
46,IN,Student,2025-06-02,18-24,1
47,US,Standard,2025-02-21,45-54,1
48,IN,Standard,2025-10-08,18-24,1
49,IN,Student,2025-12-17,35-44,1
50,DE,Student,2024-12-27,45-54,1
51,US,Standard,2025-12-01,55+,0
52,US,Standard,2025-11-22,55+,1
53,US,"Channel Bundle",2025-08-03,18-24,1
54,GB,Standard,2026-03-27,25-34,1
55,IN,Standard,2025-01-04,55+,0
56,US,Standard,2026-03-21,55+,1
57,US,Standard,2025-12-19,25-34,1
58,DE,Standard,2026-02-23,35-44,1
59,US,Standard,2025-01-07,55+,1
60,GB,Standard,2026-03-25,25-34,1
61,US,Standard,2025-02-04,35-44,1
62,GB,Standard,2025-03-01,55+,0
63,GB,"Channel Bundle",2025-03-09,18-24,1
64,US,"Channel Bundle",2026-02-22,55+,1
65,GB,Standard,2025-12-08,25-34,1
66,US,Standard,2025-02-19,18-24,1
67,IN,Standard,2025-09-27,35-44,1
68,IN,Standard,2025-06-09,45-54,1
69,GB,Standard,2025-09-25,25-34,1
70,US,Standard,2025-02-28,45-54,1
71,US,"Channel Bundle",2025-11-25,18-24,1
72,DE,Standard,2026-01-14,35-44,1
73,IN,"Channel Bundle",2025-02-03,25-34,1
74,IN,"Channel Bundle",2025-12-31,25-34,1
75,US,"Channel Bundle",2026-04-19,45-54,1
76,DE,Standard,2025-02-13,25-34,1
77,US,Standard,2026-03-07,45-54,1
78,IN,Standard,2025-03-09,25-34,1
79,US,Standard,2025-05-29,18-24,1
80,US,Standard,2025-12-10,55+,1
81,US,"Channel Bundle",2026-04-17,25-34,1
82,US,Standard,2025-12-17,35-44,1
83,US,"Channel Bundle",2025-11-22,18-24,1
84,US,Standard,2025-07-10,45-54,0
85,IN,Standard,2025-01-13,25-34,1
86,IN,"Channel Bundle",2026-03-27,55+,1
