user_id,signup_date,plan_type,language,country,age_group
U001,2026-01-03,free,en,US,25-34
U002,2026-01-05,pro,en,US,35-44
U003,2026-01-12,pro,es,MX,25-34
U004,2026-01-16,free,fr,CA,18-24
U005,2026-01-21,team,en,GB,35-44
U006,2026-02-02,free,en,US,25-34
U007,2026-02-04,pro,de,DE,45-54
U008,2026-02-11,team,en,US,35-44
U009,2026-02-18,free,pt,BR,25-34
U010,2026-02-25,pro,en,CA,25-34
U011,2026-03-03,free,en,US,18-24
U012,2026-03-06,team,es,ES,35-44
U013,2026-03-12,pro,en,GB,45-54
U014,2026-03-16,free,en,US,25-34
U015,2026-03-23,pro,fr,CA,35-44
U016,2026-04-01,team,en,US,25-34
U017,2026-04-05,free,de,DE,18-24
U018,2026-04-09,pro,en,US,45-54
U019,2026-04-18,free,pt,BR,25-34
U020,2026-04-25,team,en,GB,35-44
